# Title: SciPy L-BFGS-B termination status for the paired comparison campaign
# Description: Development and held-out confirmation runs of the same-protocol comparison, with the optimizer success flag, status code, termination message, iteration and function-evaluation counts, the three independent seed streams and the SHA-256 checksum of the collocation point set used by every model within a trial.
# Note: ftol = gtol = machine epsilon; the legacy 'factr' option is not a valid scipy.optimize.minimize argument and was never applied
# Rows: 178
experiment,model,key_id,nh,nn,trial,init_seed,data_seed,feature_seed,collocation_sha256,n_params,l2_relative,lbfgs_success,lbfgs_status,lbfgs_message,lbfgs_nit,lbfgs_nfev,time_lbfgs,scipy,tensorflow
major1_dev,NLAAF,NLAAF_n10_a0.1_sr0.1_lr0.01,3,10,1,1235,101235,201235,be5301dba3d39d76d823a45f67800d51fdae62a838a4820c5d8ac789073c0834,291,1.811878212314057,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,9245,10394,127.55614113807678,1.15.3,2.10.0
major1_dev,NLAAF,NLAAF_n10_a0.1_sr0.1_lr0.01,3,10,2,1236,101236,201236,7b0a65d90daf8e9405bb75d2b6ad038ab16e09d7961d840747a440941bf50fc3,291,1.3087336762754784,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3385,3637,44.885226011276245,1.15.3,2.10.0
major1_dev,NLAAF,NLAAF_n10_a0.1_sr0_lr0.001,3,10,0,1234,101234,201234,ae1801d2a9f18a1b9981ce1c55acdeb6b170567b1f7de9ba4ea01fb4f9925a6d,291,0.5609165779682633,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,11803,13049,161.51034903526306,1.15.3,2.10.0
major1_dev,NLAAF,NLAAF_n10_a0.1_sr0_lr0.001,3,10,1,1235,101235,201235,be5301dba3d39d76d823a45f67800d51fdae62a838a4820c5d8ac789073c0834,291,0.6834394949491521,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,6902,7583,93.10149717330933,1.15.3,2.10.0
major1_dev,NLAAF,NLAAF_n10_a0.1_sr0_lr0.001,3,10,2,1236,101236,201236,7b0a65d90daf8e9405bb75d2b6ad038ab16e09d7961d840747a440941bf50fc3,291,1.1758413575113968,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3620,4059,49.597187995910645,1.15.3,2.10.0
major1_dev,NLAAF,NLAAF_n10_a0.1_sr0_lr0.01,3,10,0,1234,101234,201234,ae1801d2a9f18a1b9981ce1c55acdeb6b170567b1f7de9ba4ea01fb4f9925a6d,291,1.9628652441217385,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,6300,6885,84.75086116790771,1.15.3,2.10.0
major1_dev,NLAAF,NLAAF_n10_a0.1_sr0_lr0.01,3,10,1,1235,101235,201235,be5301dba3d39d76d823a45f67800d51fdae62a838a4820c5d8ac789073c0834,291,0.9014779385712468,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,13314,14238,177.83468508720398,1.15.3,2.10.0
major1_dev,NLAAF,NLAAF_n10_a0.1_sr0_lr0.01,3,10,2,1236,101236,201236,7b0a65d90daf8e9405bb75d2b6ad038ab16e09d7961d840747a440941bf50fc3,291,2.063874443644192,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,6794,7241,89.10949492454529,1.15.3,2.10.0
major1_dev,NLAAF,NLAAF_n10_a0.1_sr1_lr0.001,3,10,0,1234,101234,201234,ae1801d2a9f18a1b9981ce1c55acdeb6b170567b1f7de9ba4ea01fb4f9925a6d,291,1.6165114953667226,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,8583,9233,113.6515772342682,1.15.3,2.10.0
major1_dev,NLAAF,NLAAF_n10_a0.1_sr1_lr0.001,3,10,1,1235,101235,201235,be5301dba3d39d76d823a45f67800d51fdae62a838a4820c5d8ac789073c0834,291,1.6091845933676414,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3820,4221,50.65875220298767,1.15.3,2.10.0
major1_dev,NLAAF,NLAAF_n10_a0.1_sr1_lr0.001,3,10,2,1236,101236,201236,7b0a65d90daf8e9405bb75d2b6ad038ab16e09d7961d840747a440941bf50fc3,291,1.4930660272329883,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,5368,5964,73.47044587135315,1.15.3,2.10.0
major1_dev,NLAAF,NLAAF_n10_a0.1_sr1_lr0.01,3,10,0,1234,101234,201234,ae1801d2a9f18a1b9981ce1c55acdeb6b170567b1f7de9ba4ea01fb4f9925a6d,291,2.1543441961077487,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,10166,11218,125.32830095291138,1.15.3,2.10.0
major1_dev,NLAAF,NLAAF_n10_a0.1_sr1_lr0.01,3,10,1,1235,101235,201235,be5301dba3d39d76d823a45f67800d51fdae62a838a4820c5d8ac789073c0834,291,1.7608937524472277,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,5467,5965,68.11595106124878,1.15.3,2.10.0
major1_dev,NLAAF,NLAAF_n10_a0.1_sr1_lr0.01,3,10,2,1236,101236,201236,7b0a65d90daf8e9405bb75d2b6ad038ab16e09d7961d840747a440941bf50fc3,291,1.5639050191340564,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,7507,8151,82.52616691589355,1.15.3,2.10.0
major1_dev,SIREN,SIREN_w10_hw10_lr0.0001,3,10,0,1234,101234,201234,ae1801d2a9f18a1b9981ce1c55acdeb6b170567b1f7de9ba4ea01fb4f9925a6d,261,0.0025425925839928,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3615,3876,42.88060426712036,1.15.3,2.10.0
major1_dev,SIREN,SIREN_w10_hw10_lr0.0001,3,10,1,1235,101235,201235,be5301dba3d39d76d823a45f67800d51fdae62a838a4820c5d8ac789073c0834,261,0.0133461024911259,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,8859,9450,107.0225419998169,1.15.3,2.10.0
major1_dev,SIREN,SIREN_w10_hw10_lr0.0001,3,10,2,1236,101236,201236,7b0a65d90daf8e9405bb75d2b6ad038ab16e09d7961d840747a440941bf50fc3,261,0.0181290182565077,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,11068,11742,133.84359502792358,1.15.3,2.10.0
major1_dev,SIREN,SIREN_w10_hw10_lr0.001,3,10,0,1234,101234,201234,ae1801d2a9f18a1b9981ce1c55acdeb6b170567b1f7de9ba4ea01fb4f9925a6d,261,0.0001047881535158,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,4237,4442,49.5985848903656,1.15.3,2.10.0
major1_dev,SIREN,SIREN_w10_hw10_lr0.001,3,10,1,1235,101235,201235,be5301dba3d39d76d823a45f67800d51fdae62a838a4820c5d8ac789073c0834,261,0.0077512164667527,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,13426,14354,161.30102491378784,1.15.3,2.10.0
major1_dev,SIREN,SIREN_w10_hw10_lr0.001,3,10,2,1236,101236,201236,7b0a65d90daf8e9405bb75d2b6ad038ab16e09d7961d840747a440941bf50fc3,261,0.0172522474956668,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,8473,8888,99.58976888656616,1.15.3,2.10.0
major1_dev,SIREN,SIREN_w30_hw30_lr0.0001,3,10,0,1234,101234,201234,ae1801d2a9f18a1b9981ce1c55acdeb6b170567b1f7de9ba4ea01fb4f9925a6d,261,0.0001386029078094,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,4071,4426,49.68557000160217,1.15.3,2.10.0
major1_dev,SIREN,SIREN_w30_hw30_lr0.0001,3,10,1,1235,101235,201235,be5301dba3d39d76d823a45f67800d51fdae62a838a4820c5d8ac789073c0834,261,0.0009461362937618,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,10525,11120,121.80146288871764,1.15.3,2.10.0
major1_dev,SIREN,SIREN_w30_hw30_lr0.0001,3,10,2,1236,101236,201236,7b0a65d90daf8e9405bb75d2b6ad038ab16e09d7961d840747a440941bf50fc3,261,0.0001236236696117,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3287,3529,39.084429025650024,1.15.3,2.10.0
major1_dev,SIREN,SIREN_w30_hw30_lr0.001,3,10,0,1234,101234,201234,ae1801d2a9f18a1b9981ce1c55acdeb6b170567b1f7de9ba4ea01fb4f9925a6d,261,6.3906739749319e-05,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3689,3975,44.420010805130005,1.15.3,2.10.0
major1_dev,SIREN,SIREN_w30_hw30_lr0.001,3,10,1,1235,101235,201235,be5301dba3d39d76d823a45f67800d51fdae62a838a4820c5d8ac789073c0834,261,0.0066150587878773,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2953,3075,34.61803603172302,1.15.3,2.10.0
major1_dev,SIREN,SIREN_w30_hw30_lr0.001,3,10,2,1236,101236,201236,7b0a65d90daf8e9405bb75d2b6ad038ab16e09d7961d840747a440941bf50fc3,261,0.000125498698686,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3693,3951,42.81919527053833,1.15.3,2.10.0
major1_dev,SIREN,SIREN_w5_hw5_lr0.0001,3,10,0,1234,101234,201234,ae1801d2a9f18a1b9981ce1c55acdeb6b170567b1f7de9ba4ea01fb4f9925a6d,261,0.1713786220845101,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,5781,6102,66.03095483779907,1.15.3,2.10.0
major1_dev,SIREN,SIREN_w5_hw5_lr0.0001,3,10,1,1235,101235,201235,be5301dba3d39d76d823a45f67800d51fdae62a838a4820c5d8ac789073c0834,261,0.0083001042274984,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,13228,14024,157.13184595108032,1.15.3,2.10.0
major1_dev,SIREN,SIREN_w5_hw5_lr0.0001,3,10,2,1236,101236,201236,7b0a65d90daf8e9405bb75d2b6ad038ab16e09d7961d840747a440941bf50fc3,261,0.0997680133495981,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,4524,4759,51.921348094940186,1.15.3,2.10.0
major1_dev,SIREN,SIREN_w5_hw5_lr0.001,3,10,0,1234,101234,201234,ae1801d2a9f18a1b9981ce1c55acdeb6b170567b1f7de9ba4ea01fb4f9925a6d,261,0.087784229880703,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,8676,9334,104.80265402793884,1.15.3,2.10.0
major1_dev,SIREN,SIREN_w5_hw5_lr0.001,3,10,1,1235,101235,201235,be5301dba3d39d76d823a45f67800d51fdae62a838a4820c5d8ac789073c0834,261,0.0077775423708936,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,10567,11129,124.22994208335876,1.15.3,2.10.0
major1_dev,SIREN,SIREN_w5_hw5_lr0.001,3,10,2,1236,101236,201236,7b0a65d90daf8e9405bb75d2b6ad038ab16e09d7961d840747a440941bf50fc3,261,0.0196524254964874,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,10073,10684,120.2597279548645,1.15.3,2.10.0
major1_dev,TANH,TANH_lr0.0001,3,10,0,1234,101234,201234,ae1801d2a9f18a1b9981ce1c55acdeb6b170567b1f7de9ba4ea01fb4f9925a6d,261,1.6206739011119764,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,4098,4496,51.22339463233948,1.15.3,2.10.0
major1_dev,TANH,TANH_lr0.0001,3,10,1,1235,101235,201235,be5301dba3d39d76d823a45f67800d51fdae62a838a4820c5d8ac789073c0834,261,1.7103808776436882,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12081,13242,155.58932399749756,1.15.3,2.10.0
major1_dev,TANH,TANH_lr0.0001,3,10,2,1236,101236,201236,7b0a65d90daf8e9405bb75d2b6ad038ab16e09d7961d840747a440941bf50fc3,261,0.8695608123468778,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,9476,10235,118.63200092315674,1.15.3,2.10.0
major1_dev,TANH,TANH_lr0.0003,3,10,0,1234,101234,201234,ae1801d2a9f18a1b9981ce1c55acdeb6b170567b1f7de9ba4ea01fb4f9925a6d,261,1.6679101481019685,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,9684,10485,122.20992517471312,1.15.3,2.10.0
major1_dev,TANH,TANH_lr0.0003,3,10,1,1235,101235,201235,be5301dba3d39d76d823a45f67800d51fdae62a838a4820c5d8ac789073c0834,261,1.2316783756936012,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1648,1863,22.39576506614685,1.15.3,2.10.0
major1_dev,TANH,TANH_lr0.0003,3,10,2,1236,101236,201236,7b0a65d90daf8e9405bb75d2b6ad038ab16e09d7961d840747a440941bf50fc3,261,1.2070175613038516,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,5914,6375,77.580087184906,1.15.3,2.10.0
