# Title: Per-seed results for every reported PINN configuration
# Description: One row per training run behind Tables 1-3 and the order, panel-count and sensitivity studies: benchmark, architecture, model key, seed, hyperparameters, relative L2 and absolute L1 errors (component-wise for Kovasznay), L-BFGS iteration count and final loss. No run is excluded; table statistics are computed over exactly these rows.
# Note: seed = 1234 + trial; key_id encodes the model and its hyperparameters
# Rows: 455
experiment,benchmark,key_id,nh,nn,trial,seed,lpa_order,lpa_panels,ff_sigma,ff_features,lr,N_r,N_b,n_params,l2_relative,l1_absolute,lbfgs_steps,final_loss,l2_relative_u,l2_relative_v,l2_relative_p,l1_absolute_u,l1_absolute_v,l1_absolute_p,P,rms_r,rms_r_xx,N_panel,dof
ff_baseline,helmholtz2d,FF_s5,3,10,1,1235,,,5.0,3.0,0.01,10000,200,301,1.0004331156959632,0.3978186119574959,7469,5919.7080078125,,,,,,,,,,,
ff_baseline,helmholtz2d,FF_s5,3,10,2,1236,,,5.0,3.0,0.01,10000,200,301,1.0000559775987097,0.3974948036239661,10852,5785.91943359375,,,,,,,,,,,
ff_baseline,helmholtz2d,FF_s5,3,10,3,1237,,,5.0,3.0,0.01,10000,200,301,0.9973503822747244,0.397306139645088,7558,5913.09130859375,,,,,,,,,,,
ff_baseline,helmholtz2d,FF_s5,3,10,4,1238,,,5.0,3.0,0.01,10000,200,301,0.9999932586606184,0.3972305153482754,11578,5927.03564453125,,,,,,,,,,,
ff_baseline,helmholtz2d,LPA_P6_N30,3,10,0,1234,6.0,30.0,,,0.01,10000,200,291,0.0184071832688163,0.0074427736816569,6823,0.2956189215183258,,,,,,,,,,,
ff_baseline,helmholtz2d,LPA_P6_N30,3,10,1,1235,6.0,30.0,,,0.01,10000,200,291,0.0635908346173075,0.0256930188200545,8523,1.7713453769683838,,,,,,,,,,,
ff_baseline,helmholtz2d,LPA_P6_N30,3,10,2,1236,6.0,30.0,,,0.01,10000,200,291,0.0203710101674374,0.0081753911633912,3503,0.2383000999689102,,,,,,,,,,,
ff_baseline,helmholtz2d,LPA_P6_N30,3,10,3,1237,6.0,30.0,,,0.01,10000,200,291,0.0068953387659468,0.0027882113982083,3696,0.2514886260032654,,,,,,,,,,,
ff_baseline,helmholtz2d,LPA_P6_N30,3,10,4,1238,6.0,30.0,,,0.01,10000,200,291,0.0430603816111359,0.0174657526697643,4634,0.3246545791625976,,,,,,,,,,,
ff_baseline,helmholtz2d,R1,3,10,0,1234,,,,,0.01,10000,200,261,0.2995476540048568,0.1224550836055024,10086,29.88066864013672,,,,,,,,,,,
ff_baseline,helmholtz2d,R1,3,10,1,1235,,,,,0.01,10000,200,261,2.4746807537633884,1.025072398768352,10483,169.46832275390625,,,,,,,,,,,
ff_baseline,helmholtz2d,R1,3,10,2,1236,,,,,0.01,10000,200,261,2.333053067897073,0.9632179204686524,7667,181.82937622070312,,,,,,,,,,,
ff_baseline,helmholtz2d,R1,3,10,3,1237,,,,,0.01,10000,200,261,0.1077991578158148,0.0424709432544957,8949,10.756287574768066,,,,,,,,,,,
ff_baseline,helmholtz2d,R1,3,10,4,1238,,,,,0.01,10000,200,261,0.2992378008161753,0.121910451988409,12800,24.001062393188477,,,,,,,,,,,
ff_baseline,helmholtz2d,R,3,10,0,1234,,,,,0.01,10000,200,283,1.385463063918966,0.3177545775060827,8600,0.1452664583921432,,,,,,,,,,,
ff_baseline,helmholtz2d,R,3,10,1,1235,,,,,0.01,10000,200,283,1.3839784875054104,0.3174214291381702,9662,0.4609333276748657,,,,,,,,,,,
ff_baseline,helmholtz2d,R,3,10,2,1236,,,,,0.01,10000,200,283,1.4262815450473247,0.3286617378411556,5275,1.2635807991027832,,,,,,,,,,,
ff_baseline,helmholtz2d,R,3,10,3,1237,,,,,0.01,10000,200,283,1.4306638060549115,0.3297797903856965,6799,0.8584234714508057,,,,,,,,,,,
ff_baseline,helmholtz2d,R,3,10,4,1238,,,,,0.01,10000,200,283,1.4236984845703258,0.3279101705606082,5075,18.66969108581543,,,,,,,,,,,
ff_baseline,helmholtz2d,FF_s10,4,10,0,1234,,,10.0,3.0,0.01,10000,200,411,1.0000283398749763,0.3973025934109092,5351,5987.056640625,,,,,,,,,,,
ff_baseline,helmholtz2d,FF_s10,4,10,1,1235,,,10.0,3.0,0.01,10000,200,411,1.0002301848053754,0.3976212791848709,16930,5887.93798828125,,,,,,,,,,,
ff_baseline,helmholtz2d,FF_s10,4,10,2,1236,,,10.0,3.0,0.01,10000,200,411,1.000163823117801,0.3975368924178239,11575,5816.11083984375,,,,,,,,,,,
ff_baseline,helmholtz2d,FF_s10,4,10,3,1237,,,10.0,3.0,0.01,10000,200,411,1.0000106317226785,0.3972810446757014,14255,5803.35107421875,,,,,,,,,,,
ff_baseline,helmholtz2d,FF_s10,4,10,4,1238,,,10.0,3.0,0.01,10000,200,411,1.0000037201594911,0.397205898196484,4882,6079.849609375,,,,,,,,,,,
ff_baseline,helmholtz2d,FF_s1,4,10,0,1234,,,1.0,3.0,0.01,10000,200,411,1.0064714017122764,0.4101067848481214,11013,4890.34228515625,,,,,,,,,,,
ff_baseline,helmholtz2d,FF_s1,4,10,1,1235,,,1.0,3.0,0.01,10000,200,411,0.9391045003732426,0.3761315710422424,9199,1917.18798828125,,,,,,,,,,,
