# Title: Per-seed results of the PI-DeepONet re-run
# Description: One row per operator-network training run: architecture, latent and head widths, Legendre order and panel count, seed, parameter count, errors at the reference Reynolds number and mean/median errors over the Re = 1-199 sweep, and training time.
# Note: five seeds per width per model; all rows are included in the reported statistics
# Rows: 40
benchmark,key_id,nh,nn,use_lpa,lpa_order,lpa_panels,latent_dim,head_width,epochs,lr,n_int,n_b,seed,trial,n_params,l2_u_ref,l2_v_ref,l2_p_ref,sweep_median_l2_u,sweep_median_l2_v,sweep_median_l2_p,sweep_mean_l2_u,sweep_mean_l2_v,sweep_mean_l2_p,time_train
kovasznay_pideeponet,LPA_K3_N16,3,64,True,3.0,16.0,64,16,5000,0.002,10000,200,1234,0,26627,0.0319707189489046,0.1383169995654753,0.0486561997429618,0.0387519374489784,0.1659065932035446,0.0656690150499343,0.0477521568536758,0.2030781954526901,0.0733145922422409,1216.187913894653
kovasznay_pideeponet,LPA_K3_N16,3,64,True,3.0,16.0,64,16,5000,0.002,10000,200,1235,1,26627,0.0372444744380471,0.2024338830463816,0.0290239608649042,0.026367312297225,0.1160259246826171,0.0564586482942104,0.0350467003881931,0.1940982788801193,0.0624309480190277,1257.7527358531952
kovasznay_pideeponet,LPA_K3_N16,3,64,True,3.0,16.0,64,16,5000,0.002,10000,200,1236,2,26627,0.0990293752888336,0.2386956030795016,0.2415556848200875,0.0426852032542228,0.2728266417980194,0.2019552290439605,0.1138740703463554,0.3718798160552978,0.2678227722644806,1248.853891134262
kovasznay_pideeponet,LPA_K3_N16,3,64,True,3.0,16.0,64,16,5000,0.002,10000,200,1237,3,26627,0.0771969893168415,0.1864325435477608,0.094772846456573,0.0544355474412441,0.3068517446517944,0.0645899027585983,0.0739803612232208,0.3292957842350006,0.0862643718719482,1217.6704471111298
kovasznay_pideeponet,LPA_K3_N16,3,64,True,3.0,16.0,64,16,5000,0.002,10000,200,1238,4,26627,0.1030545921830951,0.1953858930928211,0.0669469363118513,0.043507695198059,0.2055353075265884,0.0521405339241027,0.1305098682641983,0.3587248921394348,0.1143533810973167,1231.9165318012238
kovasznay_pideeponet,VAN,3,64,False,,,64,16,5000,0.002,10000,200,1234,0,26371,0.0484548602942654,0.3416747947297736,0.1099867405929429,0.0562809891998767,0.5670678615570068,0.115320548415184,0.0607913807034492,0.5992579460144043,0.1197235062718391,1030.0944681167605
kovasznay_pideeponet,VAN,3,64,False,,,64,16,5000,0.002,10000,200,1235,1,26371,0.0417794556035306,0.2175875990285384,0.0389709022282299,0.0215106178075075,0.3500671684741974,0.1027554050087928,0.0364095121622085,0.3806505501270294,0.1141766011714935,1092.9108967781067
kovasznay_pideeponet,VAN,3,64,False,,,64,16,5000,0.002,10000,200,1236,2,26371,0.0231322079182195,0.2271711040181263,0.0815961513633881,0.0125963510945439,0.2181846797466278,0.076841153204441,0.0217426922172307,0.256974995136261,0.0883642807602882,1108.3349051475525
kovasznay_pideeponet,VAN,3,64,False,,,64,16,5000,0.002,10000,200,1237,3,26371,0.0402181843720902,0.2829362162350895,0.0591458655633517,0.0322435088455677,0.2811259627342224,0.0335871763527393,0.0423552878201007,0.3326784968376159,0.0563986748456954,1086.0971550941467
kovasznay_pideeponet,VAN,3,64,False,,,64,16,5000,0.002,10000,200,1238,4,26371,0.0207694808062962,0.2295292418433498,0.0790527428488277,0.0441214218735694,0.2585622668266296,0.0676984116435051,0.0456427745521068,0.2937427163124084,0.0774344950914383,1049.506607055664
