benchmark,key,key_id,nh,nn,trial,seed,lpa_order,lpa_panels,ff_sigma,ff_features,lr,adam_steps,lbfgs_maxiter,N_b,N_r,n_params,lpa_ref_params,l1_absolute,l2_relative,l1_absolute_c0,l2_relative_c0,l2_relative_sum,final_loss,time_adam,time_lbfgs,lbfgs_steps,machine,rms_r,mean_abs_r,max_abs_r,rms_r_x,mean_abs_r_x,max_abs_r_x,rms_r_y,mean_abs_r_y,max_abs_r_y,rms_r_xx,mean_abs_r_xx,max_abs_r_xx,rms_r_yy,mean_abs_r_yy,max_abs_r_yy,domain,P
helmholtz2d,LPA,LPA_P3_N30,2,10,0,1234,3.0,30.0,,,0.01,200,40000,200,10000,181,,0.602965763311865,1.4459247617473152,0.602965763311865,1.445924761747315,1.445924761747315,84.24774169921875,5.316805839538574,166.50946307182312,8426,arm64,6.82830705552759,4.6552223563194275,39.000789642333984,137.91711059375936,89.56575679779053,1046.0728759765625,141.8559097150829,93.37720775604248,1351.284912109375,2725.2955229662707,1957.6263885498047,14472.44921875,2948.543019441975,2106.3936462402344,17189.84375,,3
helmholtz2d,LPA,LPA_P3_N30,2,10,1,1235,3.0,30.0,,,0.01,200,40000,200,10000,181,,0.19664559940593435,0.4836335987061328,0.19664559940593435,0.4836335987061302,0.4836335987061302,28.57971954345703,5.3521130084991455,55.76683712005615,2867,arm64,4.458566386230945,3.282545804977417,32.41395568847656,103.35109920572326,67.84291076660156,1311.2547607421875,100.82733079262599,68.54033756256104,867.3872680664062,2479.58077353814,1563.3379364013672,20869.158203125,2800.3764925452433,1719.989761352539,58369.80078125,,3
helmholtz2d,LPA,LPA_P3_N30,2,10,2,1236,3.0,30.0,,,0.01,200,40000,200,10000,181,,0.14836352481257542,0.3724565810307256,0.14836352481257542,0.37245658103072377,0.37245658103072377,28.1461181640625,5.450679063796997,158.50355195999146,8067,arm64,4.975049997203085,3.6351144909858704,37.06379699707031,116.71634870354495,78.95394325256348,1207.28955078125,121.77204736126714,76.21923446655273,1600.150146484375,2479.413615151776,1703.9714813232422,18082.33203125,2680.670147090089,1682.9990997314453,31701.134765625,,3
helmholtz2d,LPA,LPA_P3_N30,2,10,3,1237,3.0,30.0,,,0.01,200,40000,200,10000,181,,0.06653147981118368,0.16109803317390536,0.06653147981118368,0.16109803317390484,0.16109803317390484,15.80833911895752,5.410759925842285,90.4374771118164,4552,arm64,3.7444833072336627,2.774575561285019,36.58953094482422,105.59228355651604,63.59245491027832,1280.43798828125,91.91448284009283,62.95851421356201,926.2179565429688,2565.235954059587,1544.839096069336,22502.638671875,2165.604188211687,1432.6124420166016,18812.8984375,,3
helmholtz2d,LPA,LPA_P3_N30,2,10,4,1238,3.0,30.0,,,0.01,200,40000,200,10000,181,,0.037058969184130645,0.0920246548352353,0.037058969184130645,0.0920246548352353,0.0920246548352353,10.294879913330078,5.257648706436157,69.30348920822144,3501,arm64,3.07507176664389,2.22997385263443,37.75768280029297,86.68409217346341,52.49324417114258,1141.75341796875,86.53910904914339,52.92277479171753,1268.5203857421875,2125.2909874297216,1282.2926177978516,20702.08984375,2173.4210576301134,1299.1930236816406,21347.6328125,,3
helmholtz2d,LPA,LPA_P4_N30,2,10,0,1234,4.0,30.0,,,0.01,200,40000,200,10000,181,,0.037562473019188844,0.09354036641977119,0.037562473019188844,0.09354036641977088,0.09354036641977088,2.944154977798462,6.757664203643799,132.49380612373352,5382,arm64,1.5261890114573242,1.111092820763588,20.25619888305664,45.44558312301235,25.901468753814697,674.05712890625,40.418426118812135,24.70051622390747,514.82958984375,1130.1374190502233,630.1936416625977,11299.1962890625,1023.7880563744627,598.3228454589844,9471.8837890625,,4
helmholtz2d,LPA,LPA_P4_N30,2,10,1,1235,4.0,30.0,,,0.01,200,40000,200,10000,181,,0.0717157987894168,0.18454870891335534,0.0717157987894168,0.18454870891335462,0.18454870891335462,11.363107681274414,6.481582880020142,145.72849583625793,5979,arm64,3.1597239949613822,2.184653103351593,36.767127990722656,91.9987759716043,52.814433097839355,1320.6876220703125,90.90137007785553,53.14604043960571,1108.8765869140625,2238.7736109866046,1321.4635162353516,19002.33203125,2000.6239183064868,1242.5452575683594,16907.1875,,4
helmholtz2d,LPA,LPA_P4_N30,2,10,2,1236,4.0,30.0,,,0.01,200,40000,200,10000,181,,0.024832210822194306,0.06452225929134056,0.024832210822194306,0.06452225929134041,0.06452225929134041,5.771153450012207,6.913563013076782,157.37194228172302,6460,arm64,2.131013747514178,1.5751828849315643,21.864248275756836,61.25027254005054,39.69319772720337,632.4915771484375,58.591808561586305,35.62195634841919,811.6213989257812,1593.8109302078462,1032.1576232910156,12659.5263671875,1547.0482478739957,861.9352798461914,16508.43359375,,4
helmholtz2d,LPA,LPA_P4_N30,2,10,3,1237,4.0,30.0,,,0.01,200,40000,200,10000,181,,0.012260351962382891,0.029253646113883456,0.012260351962382891,0.029253646113883407,0.029253646113883407,5.054956436157227,6.530935049057007,125.75701403617859,5177,arm64,2.1180485033914977,1.4478967040777206,26.55667495727539,66.47273073888846,37.378575801849365,833.558837890625,69.62754655492188,36.58405590057373,942.0327758789062,1580.6765857537082,902.7912216186523,13111.111328125,1715.9704615756066,919.5234909057617,14956.78125,,4
helmholtz2d,LPA,LPA_P4_N30,2,10,4,1238,4.0,30.0,,,0.01,200,40000,200,10000,181,,0.09360883900892446,0.2249102181186823,0.09360883900892446,0.22491021811868267,0.22491021811868267,8.707220077514648,6.592862844467163,191.5935161113739,8105,arm64,2.531824682484819,1.9350415766239166,17.542722702026367,78.73975434032175,48.626564502716064,600.7218017578125,68.32704815996303,47.525514125823975,597.2811889648438,2680.2918276281034,1407.5570831298828,21893.740234375,1723.6623436740736,1210.4474029541016,12051.142578125,,4
helmholtz2d,LPA,LPA_P6_N30,2,10,0,1234,6.0,30.0,,,0.01,200,40000,200,10000,181,,0.0028642681283493013,0.00715208939096493,0.0028642681283493013,0.007152089390964924,0.007152089390964924,0.40667638182640076,8.28492283821106,152.06630778312683,4762,arm64,0.5898368184522371,0.4089321941137314,12.19577693939209,21.106041883007936,10.774534702301025,460.73089599609375,21.10739124162092,10.61015784740448,447.49249267578125,649.7772605141319,287.1450843811035,9292.080078125,652.4892360223271,282.9503517150879,9184.2998046875,,6
helmholtz2d,LPA,LPA_P6_N30,2,10,1,1235,6.0,30.0,,,0.01,200,40000,200,10000,181,,0.43756602379589404,1.060251940554512,0.43756602379589404,1.0602519405545083,1.0602519405545083,50.181480407714844,8.425074100494385,97.21952295303345,3074,arm64,5.627221813096229,4.294969201087952,55.17205810546875,134.5858973649589,94.6992301940918,1615.537353515625,141.54982093468232,95.42437744140625,1809.5235595703125,2760.3407737994958,2051.5958862304688,22110.986328125,3019.873817728151,2089.5511169433594,23675.744140625,,6
helmholtz2d,LPA,LPA_P6_N30,2,10,2,1236,6.0,30.0,,,0.01,200,40000,200,10000,181,,0.017052348309032926,0.04426895776886366,0.017052348309032926,0.0442689577688636,0.0442689577688636,1.489635944366455,8.622745037078857,143.99394297599792,4584,arm64,1.0868610804446843,0.8156164437532425,14.864128112792969,36.257397021934054,20.810913562774658,547.19287109375,32.43416547449395,19.36678957939148,524.2349853515625,1075.9322266063043,577.9633560180664,10667.642578125,944.1679289856228,513.9475898742676,11198.1044921875,,6
helmholtz2d,LPA,LPA_P6_N30,2,10,3,1237,6.0,30.0,,,0.01,200,40000,200,10000,181,,0.21563186083595257,0.5172125459358811,0.21563186083595257,0.5172125459358795,0.5172125459358795,41.46511459350586,8.80940580368042,177.4892680644989,5669,arm64,5.729053096223559,4.401844382286072,67.39156341552734,141.64886688307044,97.99267387390137,1969.134521484375,143.15872922364773,100.07164478302002,1963.327880859375,2986.9509851184366,2133.833297729492,26263.9296875,3050.73668357333,2194.802734375,25609.654296875,,6
helmholtz2d,LPA,LPA_P6_N30,2,10,4,1238,6.0,30.0,,,0.01,200,40000,200,10000,181,,0.9737017679510207,2.3275051333571257,0.9737017679510207,2.3275051333571213,2.3275051333571213,272.78131103515625,8.382268905639648,51.66991209983826,1613,arm64,13.799816193946002,11.075596451759338,76.20683288574219,251.0833587224445,197.2286605834961,2304.013916015625,249.3313421214078,196.92091751098633,2170.83203125,4371.6090001279845,3432.927764892578,33363.69140625,4364.075002219829,3459.9691162109375,31039.0,,6
