benchmark,key,key_id,nh,nn,trial,seed,lpa_order,lpa_panels,ff_sigma,ff_features,lr,adam_steps,lbfgs_maxiter,N_b,N_r,n_params,lpa_ref_params,l1_absolute,l2_relative,l1_absolute_c0,l2_relative_c0,l2_relative_sum,final_loss,time_adam,time_lbfgs,lbfgs_steps,machine,rms_r,mean_abs_r,max_abs_r,rms_r_x,mean_abs_r_x,max_abs_r_x,rms_r_y,mean_abs_r_y,max_abs_r_y,rms_r_xx,mean_abs_r_xx,max_abs_r_xx,rms_r_yy,mean_abs_r_yy,max_abs_r_yy,domain,P,N_panel
helmholtz2d,LPA,LPA_P2_N30,2,10,4,1238,2.0,30.0,,,0.01,200,40000,200,10000,181,,0.06456165619599911,0.160012174370953,0.06456165619599911,0.16001217437095197,0.16001217437095197,13.766003608703613,4.196922063827515,159.5182340145111,10523,arm64,3.1337657058620483,2.2695716619491577,18.145252227783203,87.42026745338345,54.46174335479736,1154.783935546875,93.89912423567412,58.149916648864746,1025.454833984375,2195.429969277089,1323.713150024414,21277.705078125,2618.4242995549826,1575.2174072265625,19206.314453125,,2,30
helmholtz2d,LPA,LPA_P2_N40,2,10,0,1234,2.0,40.0,,,0.01,200,40000,200,10000,191,,0.07232660911067589,0.17726707115421506,0.07232660911067589,0.17726707115421445,0.17726707115421445,14.021195411682129,4.033238887786865,99.0946958065033,6556,arm64,3.352182273202781,2.5639912486076355,22.234905242919922,86.30663830453419,58.585304260253906,896.0054321289062,107.33044518164743,72.51457023620605,769.4673461914062,2473.302435510061,1540.484375,20324.625,2912.6930086262096,1998.1006622314453,19829.8671875,,2,40
helmholtz2d,LPA,LPA_P2_N40,2,10,1,1235,2.0,40.0,,,0.01,200,40000,200,10000,191,,0.025941889273651004,0.06572450180022193,0.025941889273651004,0.06572450180022184,0.06572450180022184,5.175009727478027,4.0975401401519775,77.76731324195862,5186,arm64,2.079219357874658,1.5809264779090881,11.654464721679688,61.22445382637473,42.18135976791382,680.6964111328125,63.878689952356545,42.65883016586304,812.3909912109375,1772.9826740552205,1139.7323608398438,20268.94140625,1980.709153308481,1206.1063232421875,38125.62109375,,2,40
helmholtz2d,LPA,LPA_P2_N40,2,10,2,1236,2.0,40.0,,,0.01,200,40000,200,10000,191,,0.12718697752373898,0.31376899882419945,0.12718697752373898,0.31376899882419984,0.31376899882419984,14.721665382385254,4.2425549030303955,107.78648495674133,7212,arm64,3.19303060816578,2.5228039026260376,16.120513916015625,85.07209502850546,58.11497688293457,630.273193359375,83.28863563639325,56.000744342803955,701.5767822265625,2362.8171877020027,1523.5236206054688,19630.447265625,2235.8141693799153,1455.2694244384766,15104.22265625,,2,40
helmholtz2d,LPA,LPA_P2_N40,2,10,3,1237,2.0,40.0,,,0.01,200,40000,200,10000,191,,0.2740678334030954,0.6959699493523901,0.2740678334030954,0.6959699493523875,0.6959699493523875,46.6917724609375,4.0279929637908936,66.55421185493469,4383,arm64,5.4805564954915535,4.27972948551178,32.282928466796875,132.69878449792432,90.28694725036621,1553.0787353515625,122.8312595007756,88.53879928588867,1231.3389892578125,2977.3111610982146,1933.1434173583984,36891.47265625,2674.999976635514,1912.5919952392578,27670.85546875,,2,40
helmholtz2d,LPA,LPA_P2_N40,2,10,4,1238,2.0,40.0,,,0.01,200,40000,200,10000,191,,0.01631504729564645,0.03993019278864639,0.01631504729564645,0.0399301927886463,0.0399301927886463,1.5987462997436523,3.855747699737549,65.87016177177429,4359,arm64,1.1575326506703867,0.9109888896346092,11.687986373901367,34.592959345851156,24.172510385513306,466.8416748046875,36.15937368340029,25.49700093269348,495.25103759765625,948.5840516923105,649.4669418334961,9533.150390625,947.8719668947912,665.9976196289062,9054.16796875,,2,40
helmholtz2d,LPA,LPA_P3_N10,2,10,0,1234,3.0,10.0,,,0.01,200,40000,200,10000,161,,0.04562945896634352,0.11307252854921782,0.04562945896634352,0.11307252854921705,0.11307252854921705,2.1456363201141357,4.56582498550415,117.30468583106995,6420,arm64,1.357966131423534,1.0404319688677788,8.85632038116455,42.89782765541527,27.516032695770264,395.47216796875,36.32281757265005,24.239810943603516,251.27667236328125,1254.22088614805,744.2100067138672,9633.5771484375,1078.7029827528984,682.4552001953125,9500.0068359375,,3,10
helmholtz2d,LPA,LPA_P3_N10,2,10,1,1235,3.0,10.0,,,0.01,200,40000,200,10000,161,,0.6359015191332271,1.5442247117663035,0.6359015191332271,1.5442247117663053,1.5442247117663053,95.35441589355469,4.796295881271362,73.43475580215454,4034,arm64,7.961854292290678,5.927467107772827,45.17585372924805,140.81583665737185,109.15371704101562,692.054443359375,146.30589877248627,111.04716396331787,814.4220581054688,2830.7225446871334,2274.9554443359375,17825.51171875,2927.4673781273805,2252.2265014648438,17931.21484375,,3,10
helmholtz2d,LPA,LPA_P3_N10,2,10,2,1236,3.0,10.0,,,0.01,200,40000,200,10000,161,,0.8424497075532429,2.0169974692222676,0.8424497075532429,2.0169974692222725,2.0169974692222725,147.396240234375,4.855228900909424,87.84361004829407,4757,arm64,8.206944737075998,6.087524056434631,34.72722625732422,159.4962146273972,119.95902729034424,994.3673095703125,169.3719470435187,128.39964294433594,977.3687133789062,3056.6831901589017,2402.1785888671875,14058.478515625,3544.4565168725094,2791.439727783203,12784.955078125,,3,10
helmholtz2d,LPA,LPA_P3_N10,2,10,3,1237,3.0,10.0,,,0.01,200,40000,200,10000,161,,0.09256162479835339,0.23623089077153306,0.09256162479835339,0.23623089077153228,0.23623089077153228,14.457971572875977,4.883836030960083,104.76494598388672,5767,arm64,3.4508611585620184,2.4923735558986664,30.261396408081055,96.01283686960822,59.46065807342529,912.6010131835938,95.43387283597295,57.71011161804199,1326.79443359375,2185.0783667296696,1352.6956176757812,16061.55078125,2196.2592060137163,1340.6829986572266,20686.16015625,,3,10
