Re,l1_u,l1_v,l1_p,l2_u,l2_v,l2_p
1.900000000000000000e+01,6.865429133176803589e-02,3.716649487614631653e-02,7.610246539115905762e-02,7.716996967792510986e-02,5.153847336769104004e-01,2.119902372360229492e-01
2.000000000000000000e+01,6.518190354108810425e-02,3.512687236070632935e-02,7.295989990234375000e-02,7.338573783636093140e-02,4.963495135307312012e-01,2.051011770963668823e-01
2.100000000000000000e+01,6.187963858246803284e-02,3.318434581160545349e-02,6.986065953969955444e-02,6.976844370365142822e-02,4.777400195598602295e-01,1.982792317867279053e-01
2.200000000000000000e+01,5.874028801918029785e-02,3.133431822061538696e-02,6.681355834007263184e-02,6.632503122091293335e-02,4.595684409141540527e-01,1.915342956781387329e-01
2.300000000000000000e+01,5.576318502426147461e-02,2.957612276077270508e-02,6.382628530263900757e-02,6.305997073650360107e-02,4.418472945690155029e-01,1.848749667406082153e-01
2.400000000000000000e+01,5.294729769229888916e-02,2.790915779769420624e-02,6.090546399354934692e-02,5.997520685195922852e-02,4.245884716510772705e-01,1.783097088336944580e-01
2.500000000000000000e+01,5.029176175594329834e-02,2.633418887853622437e-02,5.805814638733863831e-02,5.707111954689025879e-02,4.078037738800048828e-01,1.718467772006988525e-01
2.600000000000000000e+01,4.779903590679168701e-02,2.484695427119731903e-02,5.528825148940086365e-02,5.434634536504745483e-02,3.915056288242340088e-01,1.654939949512481689e-01
2.700000000000000000e+01,4.545965790748596191e-02,2.344418317079544067e-02,5.259916931390762329e-02,5.179850012063980103e-02,3.757064044475555420e-01,1.592588126659393311e-01
2.800000000000000000e+01,4.326808825135231018e-02,2.212365902960300446e-02,4.999434202909469604e-02,4.942399263381958008e-02,3.604195713996887207e-01,1.531482636928558350e-01
2.900000000000000000e+01,4.122204333543777466e-02,2.088292688131332397e-02,4.747590795159339905e-02,4.721830040216445923e-02,3.456584811210632324e-01,1.471694856882095337e-01
3.000000000000000000e+01,3.931915760040283203e-02,1.972189731895923615e-02,4.504624381661415100e-02,4.517631232738494873e-02,3.314374685287475586e-01,1.413291394710540771e-01
3.100000000000000000e+01,3.755202516913414001e-02,1.863735727965831757e-02,4.270623624324798584e-02,4.329207167029380798e-02,3.177705109119415283e-01,1.356331110000610352e-01
3.200000000000000000e+01,3.591971471905708313e-02,1.762612722814083099e-02,4.045641422271728516e-02,4.155917093157768250e-02,3.046725988388061523e-01,1.300876140594482422e-01
3.300000000000000000e+01,3.446270152926445007e-02,1.668571867048740387e-02,3.829792886972427368e-02,3.997069969773292542e-02,2.921578288078308105e-01,1.246982067823410034e-01
3.400000000000000000e+01,3.321806713938713074e-02,1.581328362226486206e-02,3.623083233833312988e-02,3.851923346519470215e-02,2.802407741546630859e-01,1.194696277379989624e-01
3.500000000000000000e+01,3.214421123266220093e-02,1.500621903687715530e-02,3.425457701086997986e-02,3.719708323478698730e-02,2.689350247383117676e-01,1.144067272543907166e-01
3.600000000000000000e+01,3.119728341698646545e-02,1.426367927342653275e-02,3.236813843250274658e-02,3.599633648991584778e-02,2.582530975341796875e-01,1.095136627554893494e-01
3.700000000000000000e+01,3.034223057329654694e-02,1.358155813068151474e-02,3.057061135768890381e-02,3.490892052650451660e-02,2.482064813375473022e-01,1.047941595315933228e-01
3.800000000000000000e+01,2.956575341522693634e-02,1.295674126595258713e-02,2.886139601469039917e-02,3.392657637596130371e-02,2.388041913509368896e-01,1.002514436841011047e-01
3.900000000000000000e+01,2.886021509766578674e-02,1.238585356622934341e-02,2.723871544003486633e-02,3.304121270775794983e-02,2.300530076026916504e-01,9.588815271854400635e-02
4.000000000000000000e+01,2.821807935833930969e-02,1.186784356832504272e-02,2.570127882063388824e-02,3.224477171897888184e-02,2.219566106796264648e-01,9.170634299516677856e-02
4.100000000000000000e+01,2.763378061354160309e-02,1.139878202229738235e-02,2.424778975546360016e-02,3.152947127819061279e-02,2.145150601863861084e-01,8.770755678415298462e-02
4.200000000000000000e+01,2.710221335291862488e-02,1.097639277577400208e-02,2.287567220628261566e-02,3.088767826557159424e-02,2.077241688966751099e-01,8.389293402433395386e-02
4.300000000000000000e+01,2.661870047450065613e-02,1.059840247035026550e-02,2.158283069729804993e-02,3.031226247549057007e-02,2.015746831893920898e-01,8.026253432035446167e-02
4.400000000000000000e+01,2.617776766419410706e-02,1.025805994868278503e-02,2.036767639219760895e-02,2.979639731347560883e-02,1.960525065660476685e-01,7.681633532047271729e-02
4.500000000000000000e+01,2.577570825815200806e-02,9.950531646609306335e-03,1.922670193016529083e-02,2.933379448950290680e-02,1.911387145519256592e-01,7.355333864688873291e-02
4.600000000000000000e+01,2.541013807058334351e-02,9.672337211668491364e-03,1.815811730921268463e-02,2.891859412193298340e-02,1.868086010217666626e-01,7.047207653522491455e-02
4.700000000000000000e+01,2.507833577692508698e-02,9.421401657164096832e-03,1.715992204844951630e-02,2.854545414447784424e-02,1.830329298973083496e-01,6.757076084613800049e-02
4.800000000000000000e+01,2.477562613785266876e-02,9.192801080644130707e-03,1.622808538377285004e-02,2.820954844355583191e-02,1.797777563333511353e-01,6.484649330377578735e-02
4.900000000000000000e+01,2.449814602732658386e-02,8.983363397419452667e-03,1.536052860319614410e-02,2.790648303925991058e-02,1.770055443048477173e-01,6.229632720351219177e-02
5.000000000000000000e+01,2.424392476677894592e-02,8.790697902441024780e-03,1.455422490835189819e-02,2.763236500322818756e-02,1.746757328510284424e-01,5.991613864898681641e-02
5.100000000000000000e+01,2.401058189570903778e-02,8.613441139459609985e-03,1.380558498203754425e-02,2.738379500806331635e-02,1.727454513311386108e-01,5.770181119441986084e-02
5.200000000000000000e+01,2.379577793180942535e-02,8.449025452136993408e-03,1.311170030385255814e-02,2.715769410133361816e-02,1.711716204881668091e-01,5.564863607287406921e-02
5.300000000000000000e+01,2.359768748283386230e-02,8.295685052871704102e-03,1.247293781489133835e-02,2.695144526660442352e-02,1.699102818965911865e-01,5.375145748257637024e-02
5.400000000000000000e+01,2.341427840292453766e-02,8.151261135935783386e-03,1.189438439905643463e-02,2.676281332969665527e-02,1.689183712005615234e-01,5.200436711311340332e-02
5.500000000000000000e+01,2.324362099170684814e-02,8.013864979147911072e-03,1.137006469070911407e-02,2.658973820507526398e-02,1.681547909975051880e-01,5.040175095200538635e-02
5.600000000000000000e+01,2.308368869125843048e-02,7.882454432547092438e-03,1.089486852288246155e-02,2.643052674829959869e-02,1.675799489021301270e-01,4.893691465258598328e-02
