Re,l1_u,l1_v,l1_p,l2_u,l2_v,l2_p
2.800000000000000000e+01,4.272269457578659058e-02,1.705579459667205811e-02,3.247806802392005920e-02,4.529540613293647766e-02,2.572136521339416504e-01,1.010050848126411438e-01
2.900000000000000000e+01,3.960856422781944275e-02,1.593952439725399017e-02,3.069904819130897522e-02,4.189926013350486755e-02,2.441877871751785278e-01,9.651769697666168213e-02
3.000000000000000000e+01,3.669802844524383545e-02,1.488236710429191589e-02,2.899967692792415619e-02,3.873009234666824341e-02,2.316513061523437500e-01,9.218635410070419312e-02
3.100000000000000000e+01,3.398202359676361084e-02,1.388211827725172043e-02,2.737917192280292511e-02,3.577893972396850586e-02,2.195958197116851807e-01,8.801243454217910767e-02
3.200000000000000000e+01,3.145272657275199890e-02,1.293652504682540894e-02,2.583613060414791107e-02,3.303716331720352173e-02,2.080137282609939575e-01,8.399701863527297974e-02
3.300000000000000000e+01,2.910240739583969116e-02,1.204300299286842346e-02,2.436893805861473083e-02,3.049658052623271942e-02,1.968980282545089722e-01,8.014095574617385864e-02
3.400000000000000000e+01,2.692352607846260071e-02,1.119954604655504227e-02,2.297608926892280579e-02,2.814930304884910583e-02,1.862422972917556763e-01,7.644423842430114746e-02
3.500000000000000000e+01,2.490768954157829285e-02,1.040414720773696899e-02,2.165573649108409882e-02,2.598803676664829254e-02,1.760405451059341431e-01,7.290736585855484009e-02
3.600000000000000000e+01,2.304616011679172516e-02,9.655601345002651215e-03,2.040590904653072357e-02,2.400572970509529114e-02,1.662872284650802612e-01,6.952966004610061646e-02
3.700000000000000000e+01,2.133202739059925079e-02,8.952409029006958008e-03,1.922443322837352753e-02,2.219584025442600250e-02,1.569775491952896118e-01,6.631070375442504883e-02
3.800000000000000000e+01,1.975753903388977051e-02,8.292736485600471497e-03,1.810918562114238739e-02,2.055199258029460907e-02,1.481070220470428467e-01,6.324941664934158325e-02
3.900000000000000000e+01,1.831907406449317932e-02,7.674218155443668365e-03,1.705787144601345062e-02,1.906814984977245331e-02,1.396714001893997192e-01,6.034462526440620422e-02
4.000000000000000000e+01,1.701109483838081360e-02,7.095370441675186157e-03,1.606826111674308777e-02,1.773833855986595154e-02,1.316674798727035522e-01,5.759482458233833313e-02
4.100000000000000000e+01,1.582743600010871887e-02,6.557416636496782303e-03,1.513801887631416321e-02,1.655636355280876160e-02,1.240919306874275208e-01,5.499804392457008362e-02
4.200000000000000000e+01,1.476234756410121918e-02,6.060481537133455276e-03,1.426469162106513977e-02,1.551592908799648285e-02,1.169421076774597168e-01,5.255199596285820007e-02
4.300000000000000000e+01,1.380927581340074539e-02,5.602286662906408310e-03,1.344562228769063950e-02,1.461011730134487152e-02,1.102155894041061401e-01,5.025411024689674377e-02
4.400000000000000000e+01,1.296924427151679993e-02,5.184430163353681564e-03,1.267736032605171204e-02,1.383137237280607224e-02,1.039101481437683105e-01,4.810148850083351135e-02
4.500000000000000000e+01,1.224333327263593674e-02,4.803154151886701584e-03,1.195499766618013382e-02,1.317144837230443954e-02,9.802379459142684937e-02,4.609066247940063477e-02
4.600000000000000000e+01,1.162990834563970566e-02,4.457105416804552078e-03,1.127571891993284225e-02,1.262112613767385483e-02,9.255451709032058716e-02,4.421786963939666748e-02
4.700000000000000000e+01,1.112929452210664749e-02,4.145629238337278366e-03,1.063765585422515869e-02,1.217061467468738556e-02,8.749981224536895752e-02,4.247914627194404602e-02
