variant,nh,nn,use_lpa,lpa_order,lpa_panels,lpa_softmax,latent_dim,head_width,domain,re_train,re_ref,n_int,n_b,epochs,lr,pde_weight,bc_weight,seed,trial,dtype,machine,tf,benchmark,key_id,n_params,time_train,l1_u_ref,l1_v_ref,l1_p_ref,l2_u_ref,l2_v_ref,l2_p_ref,sweep_mean_l2_u,sweep_mean_l2_v,sweep_mean_l2_p,sweep_median_l2_u,sweep_median_l2_v,sweep_median_l2_p,final_loss
B,3,64,True,3.0,16.0,False,64,16,"[0.0, 1.0, -0.5, 1.5]","[50.0, 100.0, 150.0]",40.0,10000,200,5000,0.002,0.1,1.0,1234,0,float32,arm64,2.10.0,kovasznay_pideeponet,LPA_K3_N16,26627,1216.1879138946533,0.03143814206123352,0.007261353079229593,0.012660657986998558,0.03197071894890462,0.13831699956547536,0.048656199742961856,0.04775215685367584,0.20307819545269012,0.0733145922422409,0.038751937448978424,0.16590659320354462,0.06566901504993439,0.001394473947584629
B,3,64,True,3.0,16.0,False,64,16,"[0.0, 1.0, -0.5, 1.5]","[50.0, 100.0, 150.0]",40.0,10000,200,5000,0.002,0.1,1.0,1235,1,float32,arm64,2.10.0,kovasznay_pideeponet,LPA_K3_N16,26627,1257.7527358531952,0.03347523510456085,0.011332102119922638,0.007257251068949699,0.03724447443804713,0.20243388304638163,0.02902396086490429,0.03504670038819313,0.19409827888011932,0.06243094801902771,0.026367312297225,0.11602592468261719,0.056458648294210434,0.0012721782550215721
B,3,64,True,3.0,16.0,False,64,16,"[0.0, 1.0, -0.5, 1.5]","[50.0, 100.0, 150.0]",40.0,10000,200,5000,0.002,0.1,1.0,1236,2,float32,arm64,2.10.0,kovasznay_pideeponet,LPA_K3_N16,26627,1248.853891134262,0.09334082156419754,0.012411206029355526,0.06993736326694489,0.09902937528883367,0.2386956030795016,0.24155568482008755,0.11387407034635544,0.37187981605529785,0.2678227722644806,0.04268520325422287,0.2728266417980194,0.20195522904396057,0.005238488782197237
B,3,64,True,3.0,16.0,False,64,16,"[0.0, 1.0, -0.5, 1.5]","[50.0, 100.0, 150.0]",40.0,10000,200,5000,0.002,0.1,1.0,1237,3,float32,arm64,2.10.0,kovasznay_pideeponet,LPA_K3_N16,26627,1217.6704471111298,0.0727684497833252,0.010121412575244904,0.02512991987168789,0.07719698931684155,0.18643254354776084,0.09477284645657306,0.07398036122322083,0.3292957842350006,0.08626437187194824,0.054435547441244125,0.30685174465179443,0.06458990275859833,0.0027302957605570555
B,3,64,True,3.0,16.0,False,64,16,"[0.0, 1.0, -0.5, 1.5]","[50.0, 100.0, 150.0]",40.0,10000,200,5000,0.002,0.1,1.0,1238,4,float32,arm64,2.10.0,kovasznay_pideeponet,LPA_K3_N16,26627,1231.9165318012238,0.09904119372367859,0.010239673778414726,0.01880592666566372,0.10305459218309519,0.1953858930928211,0.06694693631185135,0.1305098682641983,0.3587248921394348,0.11435338109731674,0.04350769519805908,0.20553530752658844,0.05214053392410278,0.0005020861281082034
B,3,64,False,,,False,64,16,"[0.0, 1.0, -0.5, 1.5]","[50.0, 100.0, 150.0]",40.0,10000,200,5000,0.002,0.1,1.0,1234,0,float32,arm64,2.10.0,kovasznay_pideeponet,VAN,26371,1030.0944681167603,0.04085275158286095,0.020079096779227257,0.03131277486681938,0.04845486029426548,0.3416747947297736,0.10998674059294293,0.06079138070344925,0.5992579460144043,0.11972350627183914,0.056280989199876785,0.5670678615570068,0.11532054841518402,0.005529198795557022
B,3,64,False,,,False,64,16,"[0.0, 1.0, -0.5, 1.5]","[50.0, 100.0, 150.0]",40.0,10000,200,5000,0.002,0.1,1.0,1235,1,float32,arm64,2.10.0,kovasznay_pideeponet,VAN,26371,1092.9108967781067,0.03907964006066322,0.012111862190067768,0.009869040921330452,0.04177945560353062,0.2175875990285384,0.03897090222822997,0.03640951216220856,0.3806505501270294,0.11417660117149353,0.021510617807507515,0.3500671684741974,0.10275540500879288,0.0017564931185916066
B,3,64,False,,,False,64,16,"[0.0, 1.0, -0.5, 1.5]","[50.0, 100.0, 150.0]",40.0,10000,200,5000,0.002,0.1,1.0,1236,2,float32,arm64,2.10.0,kovasznay_pideeponet,VAN,26371,1108.3349051475525,0.02074676752090454,0.011437814682722092,0.02178867720067501,0.02313220791821954,0.22717110401812635,0.08159615136338816,0.021742692217230797,0.256974995136261,0.08836428076028824,0.012596351094543934,0.2181846797466278,0.07684115320444107,0.0012425065506249666
B,3,64,False,,,False,64,16,"[0.0, 1.0, -0.5, 1.5]","[50.0, 100.0, 150.0]",40.0,10000,200,5000,0.002,0.1,1.0,1237,3,float32,arm64,2.10.0,kovasznay_pideeponet,VAN,26371,1086.0971550941467,0.03156019747257233,0.017366528511047363,0.014851861633360386,0.04021818437209029,0.2829362162350895,0.059145865563351795,0.042355287820100784,0.33267849683761597,0.056398674845695496,0.0322435088455677,0.2811259627342224,0.033587176352739334,0.005268828012049198
B,3,64,False,,,False,64,16,"[0.0, 1.0, -0.5, 1.5]","[50.0, 100.0, 150.0]",40.0,10000,200,5000,0.002,0.1,1.0,1238,4,float32,arm64,2.10.0,kovasznay_pideeponet,VAN,26371,1049.506607055664,0.01933738961815834,0.013110808096826077,0.021004004403948784,0.020769480806296266,0.22952924184334986,0.0790527428488277,0.04564277455210686,0.29374271631240845,0.0774344950914383,0.04412142187356949,0.25856226682662964,0.0676984116435051,0.010446479544043541
B,3,8,True,3.0,16.0,False,64,16,"[0.0, 1.0, -0.5, 1.5]","[50.0, 100.0, 150.0]",40.0,10000,200,5000,0.002,0.1,1.0,1234,0,float32,arm64,2.10.0,kovasznay_pideeponet,LPA_K3_N16,2827,427.3130941390991,0.015304462052881718,0.007333689834922552,0.020346524193882942,0.016268235585569436,0.14149912055227204,0.0743324093597434,0.030499698594212532,0.161851167678833,0.07332155108451843,0.010780534707009792,0.09572520852088928,0.04165240377187729,0.00030134929693304
B,3,8,True,3.0,16.0,False,64,16,"[0.0, 1.0, -0.5, 1.5]","[50.0, 100.0, 150.0]",40.0,10000,200,5000,0.002,0.1,1.0,1235,1,float32,arm64,2.10.0,kovasznay_pideeponet,LPA_K3_N16,2827,429.7270050048828,0.04280482605099678,0.010261167772114277,0.03410175442695618,0.05005094341990769,0.19716925718788297,0.11692694444078619,0.06830566376447678,0.2241632640361786,0.16502441465854645,0.017450368031859398,0.14821060001850128,0.10667911916971207,0.000463419477455318
B,3,8,True,3.0,16.0,False,64,16,"[0.0, 1.0, -0.5, 1.5]","[50.0, 100.0, 150.0]",40.0,10000,200,5000,0.002,0.1,1.0,1236,2,float32,arm64,2.10.0,kovasznay_pideeponet,LPA_K3_N16,2827,418.4866359233856,0.04061192646622658,0.012756017968058586,0.032818496227264404,0.04933426249641078,0.23159365612812763,0.11207940354478921,0.06188879534602165,0.3889712989330292,0.134864941239357,0.0399060882627964,0.3696601390838623,0.11961819231510162,0.007173891179263592
B,3,8,True,3.0,16.0,False,64,16,"[0.0, 1.0, -0.5, 1.5]","[50.0, 100.0, 150.0]",40.0,10000,200,5000,0.002,0.1,1.0,1237,3,float32,arm64,2.10.0,kovasznay_pideeponet,LPA_K3_N16,2827,416.6580739021301,0.057745661586523056,0.009008252061903477,0.01689356006681919,0.06575699327702146,0.1854984264833742,0.06159756073994143,0.06978703290224075,0.259195476770401,0.16422559320926666,0.045102860778570175,0.20926553010940552,0.12331398576498032,0.01896807737648487
B,3,8,True,3.0,16.0,False,64,16,"[0.0, 1.0, -0.5, 1.5]","[50.0, 100.0, 150.0]",40.0,10000,200,5000,0.002,0.1,1.0,1238,4,float32,arm64,2.10.0,kovasznay_pideeponet,LPA_K3_N16,2827,420.9408881664276,0.01428647805005312,0.006186996586620808,0.015158291906118393,0.015106076226877154,0.12625790875066442,0.054689428234374185,0.03644116595387459,0.167389914393425,0.06212596967816353,0.00862716231495142,0.09618692845106125,0.02606893517076969,0.0005045604193583131
B,3,8,False,,,False,64,16,"[0.0, 1.0, -0.5, 1.5]","[50.0, 100.0, 150.0]",40.0,10000,200,5000,0.002,0.1,1.0,1234,0,float32,arm64,2.10.0,kovasznay_pideeponet,VAN,2571,268.73072695732117,0.016971228644251823,0.01051420159637928,0.0407261997461319,0.018111124796006683,0.1997000839124639,0.14439039176576152,0.03171925246715546,0.2094152271747589,0.10985999554395676,0.016722125932574272,0.12466641515493393,0.0582038089632988,0.0005743048968724906
B,3,8,False,,,False,64,16,"[0.0, 1.0, -0.5, 1.5]","[50.0, 100.0, 150.0]",40.0,10000,200,5000,0.002,0.1,1.0,1235,1,float32,arm64,2.10.0,kovasznay_pideeponet,VAN,2571,273.57377099990845,0.02767988294363022,0.01457790657877922,0.0429733544588089,0.033912700531256376,0.27896549806993415,0.16080890471676068,0.04878704622387886,0.45480599999427795,0.13915090262889862,0.02470489963889122,0.3687247931957245,0.08238909393548965,0.0013217204250395298
B,3,8,False,,,False,64,16,"[0.0, 1.0, -0.5, 1.5]","[50.0, 100.0, 150.0]",40.0,10000,200,5000,0.002,0.1,1.0,1236,2,float32,arm64,2.10.0,kovasznay_pideeponet,VAN,2571,272.0010190010071,0.030472012236714363,0.017304198816418648,0.02525811828672886,0.03442286560436333,0.2816603659957274,0.08619096913804979,0.055672306567430496,0.47319093346595764,0.0925767719745636,0.037840913981199265,0.44886815547943115,0.046353597193956375,0.0027038243133574724
B,3,8,False,,,False,64,16,"[0.0, 1.0, -0.5, 1.5]","[50.0, 100.0, 150.0]",40.0,10000,200,5000,0.002,0.1,1.0,1237,3,float32,arm64,2.10.0,kovasznay_pideeponet,VAN,2571,267.9803133010864,0.09017705917358398,0.02299562469124794,0.03453043848276138,0.10140164234294957,0.4059777196861004,0.12256802287633649,0.10796414315700531,0.4282536208629608,0.1397683024406433,0.08602146804332733,0.38965120911598206,0.10338394343852997,0.009193891659379005
B,3,8,False,,,False,64,16,"[0.0, 1.0, -0.5, 1.5]","[50.0, 100.0, 150.0]",40.0,10000,200,5000,0.002,0.1,1.0,1238,4,float32,arm64,2.10.0,kovasznay_pideeponet,VAN,2571,271.30917525291443,0.08556731045246124,0.026217887178063393,0.019940055906772614,0.09121403002411554,0.46758199956112234,0.07892698321595298,0.11515484005212784,0.6144518852233887,0.07888395339250565,0.108856700360775,0.5954686999320984,0.05244030803442001,0.008695685304701328
