Re,l1_u,l1_v,l1_p,l2_u,l2_v,l2_p
1.400000000000000000e+01,8.645895123481750488e-02,4.002938047051429749e-02,8.213540911674499512e-02,9.615994244813919067e-02,5.323606133460998535e-01,2.180357277393341064e-01
1.500000000000000000e+01,8.205384016036987305e-02,3.759887814521789551e-02,7.808841019868850708e-02,9.105802327394485474e-02,5.116015672683715820e-01,2.091522365808486938e-01
1.600000000000000000e+01,7.779277861118316650e-02,3.531681746244430542e-02,7.413978129625320435e-02,8.613397926092147827e-02,4.913895130157470703e-01,2.004295736551284790e-01
1.700000000000000000e+01,7.368632405996322632e-02,3.317642956972122192e-02,7.029384374618530273e-02,8.141093701124191284e-02,4.717424511909484863e-01,1.918745189905166626e-01
1.800000000000000000e+01,6.974968314170837402e-02,3.116976656019687653e-02,6.655523926019668579e-02,7.690505683422088623e-02,4.526711404323577881e-01,1.834935247898101807e-01
1.900000000000000000e+01,6.599296629428863525e-02,2.928817085921764374e-02,6.292761117219924927e-02,7.262695580720901489e-02,4.341813921928405762e-01,1.752924621105194092e-01
2.000000000000000000e+01,6.241986155509948730e-02,2.752203308045864105e-02,5.941472947597503662e-02,6.858299672603607178e-02,4.162745475769042969e-01,1.672765761613845825e-01
2.100000000000000000e+01,5.903562530875205994e-02,2.586415968835353851e-02,5.601988360285758972e-02,6.477551907300949097e-02,3.989493548870086670e-01,1.594507992267608643e-01
2.200000000000000000e+01,5.584063008427619934e-02,2.430743724107742310e-02,5.274552479386329651e-02,6.120432168245315552e-02,3.822018504142761230e-01,1.518199294805526733e-01
2.300000000000000000e+01,5.283585935831069946e-02,2.284583635628223419e-02,4.959383606910705566e-02,5.786671116948127747e-02,3.660267591476440430e-01,1.443877071142196655e-01
2.400000000000000000e+01,5.002133920788764954e-02,2.147374302148818970e-02,4.656541347503662109e-02,5.475830286741256714e-02,3.504174947738647461e-01,1.371573209762573242e-01
2.500000000000000000e+01,4.739594832062721252e-02,2.018594741821289062e-02,4.366026818752288818e-02,5.187341570854187012e-02,3.353667855262756348e-01,1.301323622465133667e-01
2.600000000000000000e+01,4.494242370128631592e-02,1.897781528532505035e-02,4.087762907147407532e-02,4.920503869652748108e-02,3.208669722080230713e-01,1.233152151107788086e-01
2.700000000000000000e+01,4.265541210770606995e-02,1.784498803317546844e-02,3.821685165166854858e-02,4.674565047025680542e-02,3.069101274013519287e-01,1.167083904147148132e-01
2.800000000000000000e+01,4.053240641951560974e-02,1.678355038166046143e-02,3.567633777856826782e-02,4.448684677481651306e-02,2.934880554676055908e-01,1.103135272860527039e-01
2.900000000000000000e+01,3.856916353106498718e-02,1.578990556299686432e-02,3.325418010354042053e-02,4.241994395852088928e-02,2.805923521518707275e-01,1.041321307420730591e-01
3.000000000000000000e+01,3.676540032029151917e-02,1.486123632639646530e-02,3.094777837395668030e-02,4.053580388426780701e-02,2.682151198387145996e-01,9.816543757915496826e-02
3.100000000000000000e+01,3.510619327425956726e-02,1.399712078273296356e-02,2.875459380447864532e-02,3.882511705160140991e-02,2.563477456569671631e-01,9.241408109664916992e-02
3.200000000000000000e+01,3.358111530542373657e-02,1.319141872227191925e-02,2.667208947241306305e-02,3.727832809090614319e-02,2.449824512004852295e-01,8.687885850667953491e-02
3.300000000000000000e+01,3.218727558851242065e-02,1.244032103568315506e-02,2.469744719564914703e-02,3.588596358895301819e-02,2.341109067201614380e-01,8.156006038188934326e-02
3.400000000000000000e+01,3.092758171260356903e-02,1.173991430550813675e-02,2.282725833356380463e-02,3.463823348283767700e-02,2.237245440483093262e-01,7.645736634731292725e-02
3.500000000000000000e+01,2.978720329701900482e-02,1.108748279511928558e-02,2.105837687849998474e-02,3.352579101920127869e-02,2.138155400753021240e-01,7.157097756862640381e-02
3.600000000000000000e+01,2.876262180507183075e-02,1.048065908253192902e-02,1.938691549003124237e-02,3.253907337784767151e-02,2.043751031160354614e-01,6.690055876970291138e-02
3.700000000000000000e+01,2.785469964146614075e-02,9.917282499372959137e-03,1.780927367508411407e-02,3.166873008012771606e-02,1.953953355550765991e-01,6.244608387351036072e-02
3.800000000000000000e+01,2.705596387386322021e-02,9.395631961524486542e-03,1.632180437445640564e-02,3.090580739080905914e-02,1.868670880794525146e-01,5.820699408650398254e-02
3.900000000000000000e+01,2.636657655239105225e-02,8.913295343518257141e-03,1.492130011320114136e-02,3.024148195981979370e-02,1.787816286087036133e-01,5.418337509036064148e-02
4.000000000000000000e+01,2.578214742243289948e-02,8.467549458146095276e-03,1.360441558063030243e-02,2.966731041669845581e-02,1.711300015449523926e-01,5.037539452314376831e-02
4.100000000000000000e+01,2.530502900481224060e-02,8.055900223553180695e-03,1.236732676625251770e-02,2.917534299194812775e-02,1.639027595520019531e-01,4.678323119878768921e-02
4.200000000000000000e+01,2.493154630064964294e-02,7.675897330045700073e-03,1.120641455054283142e-02,2.875790931284427643e-02,1.570901870727539062e-01,4.340769350528717041e-02
4.300000000000000000e+01,2.463853172957897186e-02,7.325087673962116241e-03,1.011825818568468094e-02,2.840787172317504883e-02,1.506821364164352417e-01,4.025003314018249512e-02
4.400000000000000000e+01,2.441465854644775391e-02,7.001329213380813599e-03,9.103706106543540955e-03,2.811857312917709351e-02,1.446676850318908691e-01,3.731182217597961426e-02
4.500000000000000000e+01,2.423815615475177765e-02,6.702498067170381546e-03,8.184025064110755920e-03,2.788383699953556061e-02,1.390361189842224121e-01,3.459526225924491882e-02
4.600000000000000000e+01,2.411475032567977905e-02,6.426637992262840271e-03,7.389129605144262314e-03,2.769800089299678802e-02,1.337754875421524048e-01,3.210306912660598755e-02
4.700000000000000000e+01,2.402524463832378387e-02,6.171873304992914200e-03,6.698976270854473114e-03,2.755582332611083984e-02,1.288738697767257690e-01,2.983847446739673615e-02
4.800000000000000000e+01,2.396038919687271118e-02,5.936427973210811615e-03,6.094520911574363708e-03,2.745248191058635712e-02,1.243181824684143066e-01,2.780429087579250336e-02
4.900000000000000000e+01,2.391861192882061005e-02,5.718783009797334671e-03,5.567909218370914459e-03,2.738377451896667480e-02,1.200951263308525085e-01,2.600337751209735870e-02
5.000000000000000000e+01,2.389717474579811096e-02,5.517332348972558975e-03,5.118970293551683426e-03,2.734577096998691559e-02,1.161908507347106934e-01,2.443723194301128387e-02
5.100000000000000000e+01,2.389228343963623047e-02,5.330656655132770538e-03,4.755116999149322510e-03,2.733488753437995911e-02,1.125906854867935181e-01,2.310553565621376038e-02
5.200000000000000000e+01,2.390188165009021759e-02,5.157458130270242691e-03,4.476503003388643265e-03,2.734806574881076813e-02,1.092797145247459412e-01,2.200496010482311249e-02
5.300000000000000000e+01,2.392436563968658447e-02,4.996549338102340698e-03,4.283500835299491882e-03,2.738239429891109467e-02,1.062426716089248657e-01,2.112852036952972412e-02
5.400000000000000000e+01,2.395859919488430023e-02,4.846793133765459061e-03,4.177157767117023468e-03,2.743537537753582001e-02,1.034635305404663086e-01,2.046486362814903259e-02
5.500000000000000000e+01,2.400354295969009399e-02,4.707259591668844223e-03,4.119998309761285782e-03,2.750470302999019623e-02,1.009268760681152344e-01,1.999835111200809479e-02
5.600000000000000000e+01,2.405851520597934723e-02,4.577038343995809555e-03,4.094993695616722107e-03,2.758836373686790466e-02,9.861634671688079834e-02,1.970956102013587952e-02
5.700000000000000000e+01,2.412246726453304291e-02,4.455287940800189972e-03,4.092664923518896103e-03,2.768455259501934052e-02,9.651623666286468506e-02,1.957631483674049377e-02
5.800000000000000000e+01,2.419442683458328247e-02,4.341275431215763092e-03,4.106043372303247452e-03,2.779165282845497131e-02,9.461047500371932983e-02,1.957532204687595367e-02
5.900000000000000000e+01,2.427443303167819977e-02,4.234238527715206146e-03,4.129818174988031387e-03,2.790825814008712769e-02,9.288408607244491577e-02,1.968318037688732147e-02
6.000000000000000000e+01,2.436279132962226868e-02,4.133609589189291000e-03,4.160224925726652145e-03,2.803304046392440796e-02,9.132193773984909058e-02,1.987782306969165802e-02
6.100000000000000000e+01,2.445971034467220306e-02,4.038852173835039139e-03,4.194345790892839432e-03,2.816481888294219971e-02,8.990957587957382202e-02,2.013925462961196899e-02
6.200000000000000000e+01,2.456348016858100891e-02,3.949375357478857040e-03,4.229848273098468781e-03,2.830268815159797668e-02,8.863324671983718872e-02,2.044970542192459106e-02
6.300000000000000000e+01,2.467441931366920471e-02,3.864680184051394463e-03,4.265146329998970032e-03,2.844564430415630341e-02,8.747991174459457397e-02,2.079433761537075043e-02
6.400000000000000000e+01,2.479245327413082123e-02,3.784310072660446167e-03,4.299203399568796158e-03,2.859296835958957672e-02,8.643762767314910889e-02,2.116064541041851044e-02
6.500000000000000000e+01,2.491613104939460754e-02,3.707896452397108078e-03,4.330900032073259354e-03,2.874384075403213501e-02,8.549460023641586304e-02,2.153819240629673004e-02
6.600000000000000000e+01,2.504348382353782654e-02,3.635088447481393814e-03,4.359775688499212265e-03,2.889766171574592590e-02,8.464068174362182617e-02,2.191945910453796387e-02
6.700000000000000000e+01,2.517429739236831665e-02,3.565504914149641991e-03,4.385403357446193695e-03,2.905391529202461243e-02,8.386626839637756348e-02,2.229756861925125122e-02
