Re,l1_u,l1_v,l1_p,l2_u,l2_v,l2_p
3.400000000000000000e+01,5.444159731268882751e-02,1.762983761727809906e-02,4.974833875894546509e-02,6.365146487951278687e-02,2.934474050998687744e-01,1.573515236377716064e-01
3.500000000000000000e+01,5.160820484161376953e-02,1.669645495712757111e-02,4.662853106856346130e-02,6.069743633270263672e-02,2.821890413761138916e-01,1.493044346570968628e-01
3.600000000000000000e+01,4.900616407394409180e-02,1.580896601080894470e-02,4.362828657031059265e-02,5.798413604497909546e-02,2.712873518466949463e-01,1.414393335580825806e-01
3.700000000000000000e+01,4.662157967686653137e-02,1.496754959225654602e-02,4.074748978018760681e-02,5.550169944763183594e-02,2.607587277889251709e-01,1.337695121765136719e-01
3.800000000000000000e+01,4.444215074181556702e-02,1.417727209627628326e-02,3.798585385084152222e-02,5.323978886008262634e-02,2.506205439567565918e-01,1.263096332550048828e-01
3.900000000000000000e+01,4.244620352983474731e-02,1.343769393861293793e-02,3.534300625324249268e-02,5.118774995207786560e-02,2.408920824527740479e-01,1.190744116902351379e-01
4.000000000000000000e+01,4.061192646622657776e-02,1.275601796805858612e-02,3.281849622726440430e-02,4.933426156640052795e-02,2.315936535596847534e-01,1.120794042944908142e-01
4.100000000000000000e+01,3.894646465778350830e-02,1.212778408080339432e-02,3.041144460439682007e-02,4.766760021448135376e-02,2.227467000484466553e-01,1.053403094410896301e-01
4.200000000000000000e+01,3.744287788867950439e-02,1.154588814824819565e-02,2.812106907367706299e-02,4.617558419704437256e-02,2.143732160329818726e-01,9.887394309043884277e-02
4.300000000000000000e+01,3.609729558229446411e-02,1.100772898644208908e-02,2.594643272459506989e-02,4.484571516513824463e-02,2.064951211214065552e-01,9.269734472036361694e-02
4.400000000000000000e+01,3.496789559721946716e-02,1.051113475114107132e-02,2.388629503548145294e-02,4.366533830761909485e-02,1.991348713636398315e-01,8.682812005281448364e-02
4.500000000000000000e+01,3.411512076854705811e-02,1.005446817725896835e-02,2.193950302898883820e-02,4.262164235115051270e-02,1.923134326934814453e-01,8.128442615270614624e-02
4.600000000000000000e+01,3.346457704901695251e-02,9.636480361223220825e-03,2.010479383170604706e-02,4.170201718807220459e-02,1.860499382019042969e-01,7.608441263437271118e-02
