benchmark,key,key_id,nh,nn,trial,seed,lpa_order,lpa_panels,ff_sigma,ff_features,lr,adam_steps,lbfgs_maxiter,N_b,N_r,n_params,lpa_ref_params,l1_absolute,l2_relative,l1_absolute_c0,l2_relative_c0,l2_relative_sum,final_loss,time_adam,time_lbfgs,lbfgs_steps,machine,rms_r,mean_abs_r,max_abs_r,rms_r_x,mean_abs_r_x,max_abs_r_x,rms_r_y,mean_abs_r_y,max_abs_r_y,rms_r_xx,mean_abs_r_xx,max_abs_r_xx,rms_r_yy,mean_abs_r_yy,max_abs_r_yy,domain,P,N_panel,dof
helmholtz2d,LPA,LPA_P3_N52,2,10,0,1234,3.0,52.0,,,0.01,200,40000,200,10000,203,,0.018687289950265147,0.04594484328683089,0.018687289950265147,0.04594484328683078,0.04594484328683078,2.412445545196533,5.589728832244873,48.45521092414856,2421,arm64,1.5238521745158384,1.119964674115181,24.74192237854004,45.672885462062325,30.20062494277954,725.6751098632812,43.755442951040926,30.559704542160034,736.1085205078125,1108.9147953911968,808.128532409668,10830.4619140625,1076.0961054315735,784.3113403320312,10971.9462890625,,3,52,208
helmholtz2d,LPA,LPA_P3_N52,2,10,1,1235,3.0,52.0,,,0.01,200,40000,200,10000,203,,0.009818091650954899,0.025167164296901988,0.009818091650954899,0.025167164296901943,0.025167164296901943,0.581170916557312,5.693002939224243,116.37711596488953,5525,arm64,0.7308303580546159,0.5725673660635948,4.135022163391113,23.29101881878909,15.841229438781738,365.2441711425781,22.89414143812169,15.536092638969421,308.20977783203125,846.3987590816754,468.2918891906738,17600.1875,877.4264347724543,465.6655158996582,17088.341796875,,3,52,208
helmholtz2d,LPA,LPA_P3_N52,2,10,2,1236,3.0,52.0,,,0.01,200,40000,200,10000,203,,0.1353007286290636,0.32908605186117185,0.1353007286290636,0.3290860518611711,0.3290860518611711,13.173470497131348,5.751598834991455,190.92713809013367,9211,arm64,3.170342606072062,2.357927232980728,27.382558822631836,88.96635503999005,62.40983724594116,889.824951171875,82.22743207675587,57.20569849014282,629.0079345703125,2554.6711994892808,1770.4410705566406,16564.3203125,2090.1937709217295,1545.0683135986328,11231.384765625,,3,52,208
helmholtz2d,LPA,LPA_P3_N52,2,10,3,1237,3.0,52.0,,,0.01,200,40000,200,10000,203,,0.020342782322526506,0.051310690212763674,0.020342782322526506,0.051310690212763514,0.051310690212763514,1.5323606729507446,5.721202850341797,153.85092902183533,7155,arm64,1.0974259525227938,0.793072909116745,8.876416206359863,32.351605302698985,17.90866470336914,359.481201171875,32.36747506962526,18.7912814617157,417.35369873046875,991.4988968728104,504.6357765197754,10610.712890625,924.309078954383,524.7563819885254,9284.740234375,,3,52,208
helmholtz2d,LPA,LPA_P3_N52,2,10,4,1238,3.0,52.0,,,0.01,200,40000,200,10000,203,,0.01799496757950135,0.04494143068970316,0.01799496757950135,0.04494143068970309,0.04494143068970309,2.1604883670806885,5.519064903259277,105.96256470680237,5061,arm64,1.3907903776521797,1.055067166686058,9.297834396362305,40.48552360362851,27.534271240234375,282.46630859375,42.19361970949463,28.2751145362854,338.843505859375,1216.944123614556,773.6376800537109,8307.1025390625,1123.9555985447112,740.8512420654297,7836.13427734375,,3,52,208
helmholtz2d,LPA,LPA_P4_N42,2,10,0,1234,4.0,42.0,,,0.01,200,40000,200,10000,193,,0.02553802239103213,0.06433117029466283,0.02553802239103213,0.06433117029466283,0.06433117029466283,4.53180456161499,7.018306016921997,70.7089478969574,2689,arm64,1.9224975632055588,1.5047414302825928,12.8197660446167,51.25340862568999,36.60700178146362,662.4378051757812,51.93644704107126,36.416014671325684,646.560791015625,1351.5133358110086,912.4189300537109,13551.8173828125,1302.1329437215695,884.3608551025391,14226.341796875,,4,42,210
helmholtz2d,LPA,LPA_P4_N42,2,10,1,1235,4.0,42.0,,,0.01,200,40000,200,10000,193,,0.060842306212324435,0.14800551763733774,0.060842306212324435,0.14800551763733721,0.14800551763733721,3.1603455543518066,7.0022289752960205,198.7603211402893,7684,arm64,1.570735845862972,1.1867906302213669,13.955366134643555,52.21644807281342,29.998480796813965,576.0030517578125,46.501449398299165,29.033658266067505,372.40283203125,1501.4955669265228,776.7388687133789,14664.6484375,1400.1672165762916,813.5317077636719,8658.185546875,,4,42,210
helmholtz2d,LPA,LPA_P4_N42,2,10,2,1236,4.0,42.0,,,0.01,200,40000,200,10000,193,,0.00958175197364087,0.0241536092322031,0.00958175197364087,0.024153609232203006,0.024153609232203006,0.4192145764827728,7.172353029251099,241.06321787834167,9122,arm64,0.6044229612630382,0.45227428525686264,6.815133094787598,19.833026830190853,10.77889633178711,332.6618957519531,20.080982809369914,11.476947784423828,356.37567138671875,668.8338352825386,299.08924865722656,8492.626953125,592.9138586253487,310.91404724121094,8793.6884765625,,4,42,210
helmholtz2d,LPA,LPA_P4_N42,2,10,3,1237,4.0,42.0,,,0.01,200,40000,200,10000,193,,0.007314561328227795,0.018789834991963246,0.007314561328227795,0.018789834991963208,0.018789834991963208,1.2371500730514526,7.002767086029053,116.01823425292969,4483,arm64,0.9969961417144091,0.7374287694692612,11.157337188720703,32.94642324296212,18.510693073272705,604.4028930664062,32.24080130516033,17.774243116378784,521.2842407226562,1007.7763365604741,486.1079216003418,18739.99609375,934.9253040851713,476.4375877380371,14415.078125,,4,42,210
helmholtz2d,LPA,LPA_P4_N42,2,10,4,1238,4.0,42.0,,,0.01,200,40000,200,10000,193,,0.7265921646534453,1.7481770346686363,0.7265921646534453,1.748177034668633,1.748177034668633,1279.0408935546875,7.053818225860596,27.656559944152832,1013,arm64,31.254872911091425,26.70364475250244,69.60421752929688,528.1719135967948,439.92382431030273,2210.48291015625,526.0286277261913,439.769718170166,2138.818115234375,8248.396874544775,6836.828430175781,25202.66015625,8628.604406275676,7083.248718261719,24882.4296875,,4,42,210
helmholtz2d,LPA,LPA_P5_N35,2,10,0,1234,5.0,35.0,,,0.01,200,40000,200,10000,186,,0.04159764305069819,0.10520894549855797,0.04159764305069819,0.10520894549855764,0.10520894549855764,4.434576034545898,8.486937761306763,254.45680117607117,8199,arm64,1.9991150850383959,1.4730181694030762,28.67974853515625,55.795812557705524,35.09701347351074,833.9511108398438,51.53041733901262,34.059359550476074,593.77880859375,1470.673676414996,900.5114135742188,13297.00390625,1275.6209088616413,851.9075088500977,8905.7431640625,,5,35,210
helmholtz2d,LPA,LPA_P5_N35,2,10,1,1235,5.0,35.0,,,0.01,200,40000,200,10000,186,,0.6672786093924364,1.6184800549582818,0.6672786093924364,1.6184800549582814,1.6184800549582814,804.083251953125,8.756571769714355,104.843101978302,3323,arm64,24.704353239251713,20.437283754348755,75.01708984375,470.9169433967364,374.2805595397949,1653.604736328125,445.02346541011184,354.87878036499023,1653.8828125,7256.457090068127,5829.605651855469,20137.09765625,7075.941209478779,5696.700927734375,19061.41015625,,5,35,210
helmholtz2d,LPA,LPA_P5_N35,2,10,2,1236,5.0,35.0,,,0.01,200,40000,200,10000,186,,0.027311688088725646,0.06693839121184782,0.027311688088725646,0.06693839121184783,0.06693839121184783,1.275851845741272,8.47238278388977,284.2937309741974,9470,arm64,1.0345507884402316,0.7826084047555923,7.4356231689453125,36.25830677487111,21.593461990356445,383.0502014160156,35.087875784943286,21.904441595077515,466.12255859375,1105.2230685477027,635.8956680297852,8160.9326171875,1284.0067598634362,675.6321792602539,12189.787109375,,5,35,210
helmholtz2d,LPA,LPA_P5_N35,2,10,3,1237,5.0,35.0,,,0.01,200,40000,200,10000,186,,0.010944660034482882,0.02657159812386096,0.010944660034482882,0.026571598123860937,0.026571598123860937,0.4691581130027771,8.469941854476929,130.5308358669281,4331,arm64,0.5831248598798765,0.4110088162124157,10.436328887939453,19.786776091683482,10.296262860298157,424.78851318359375,20.109824245980462,10.154649019241333,466.9605407714844,559.3616985150351,272.0369529724121,9437.1005859375,543.9430350603132,256.960298538208,9591.751953125,,5,35,210
helmholtz2d,LPA,LPA_P5_N35,2,10,4,1238,5.0,35.0,,,0.01,200,40000,200,10000,186,,0.012711502316504818,0.03166675533718074,0.012711502316504818,0.031666755337180656,0.031666755337180656,0.7867469787597656,8.402935028076172,144.7896819114685,4783,arm64,0.874878010590801,0.6219527050852776,13.604387283325195,27.60959420065874,15.16409158706665,453.96319580078125,27.259151007123286,14.696477890014648,513.7149047851562,846.5954704727636,428.0237808227539,9020.5224609375,751.3898216388748,410.2611503601074,9787.68359375,,5,35,210
