benchmark,key,key_id,nh,nn,trial,seed,lpa_order,lpa_panels,ff_sigma,ff_features,lr,adam_steps,lbfgs_maxiter,N_b,N_r,n_params,lpa_ref_params,final_loss,time_adam,time_lbfgs,lbfgs_steps,machine,l1_absolute_u,l2_relative_u,l1_absolute_v,l2_relative_v,l1_absolute_p,l2_relative_p,model
kovasznay,FF,FF_s5,2,10,0,1234,,,5.0,3.0,0.01,200,40000,200,5000,213,203.0,3.376420736312866,7.68509578704834,7.1012537479400635,243,arm64,0.6163713314945849,0.6336798676148813,0.08290375409286793,0.9999923045421407,0.31633266603283383,1.0279470249932166,FF_s5
kovasznay,FF,FF_s5,2,10,1,1235,,,5.0,3.0,0.01,200,40000,200,5000,213,203.0,3.485039234161377,7.942856073379517,19.210850954055786,681,arm64,0.654383551100676,0.6725211045949301,0.0829291769133168,1.0001037297909203,0.336849469068177,1.0797751551299168,FF_s5
kovasznay,FF,FF_s5,2,10,2,1236,,,5.0,3.0,0.01,200,40000,200,5000,213,203.0,3.3273158073425293,8.101008176803589,4.884172201156616,173,arm64,0.6520429836415744,0.670249074957219,0.08296941417788699,1.0005500550736808,0.3242742571075004,1.046891129385052,FF_s5
kovasznay,FF,FF_s5,2,10,3,1237,,,5.0,3.0,0.01,200,40000,200,5000,213,203.0,3.2097208499908447,7.658195972442627,24.888348817825317,867,arm64,0.6168764619444709,0.6324417646402003,0.08310010862390169,1.003057953903305,0.31754827461205515,1.0297035768773914,FF_s5
kovasznay,FF,FF_s5,2,10,4,1238,,,5.0,3.0,0.01,200,40000,200,5000,213,203.0,3.619982957839966,5.740736961364746,10.198519945144653,407,arm64,0.6194191794850608,0.6369474216289709,0.08291922222312863,1.0001103929321808,0.3287015099683971,1.0580524083953369,FF_s5
kovasznay,LPA,LPA_P6_N30,2,10,0,1234,6.0,30.0,,,0.01,200,40000,200,5000,203,,0.0004395181895233691,14.692460060119629,429.42291617393494,7598,arm64,0.0031699791311185265,0.003245321231087279,0.0015652103720315232,0.019697531145687324,0.0020788255044931507,0.0069621123481318934,LPA
kovasznay,LPA,LPA_P6_N30,2,10,1,1235,6.0,30.0,,,0.01,200,40000,200,5000,203,,0.00019831910321954638,15.145856857299805,349.0621328353882,6164,arm64,0.0015665387589359218,0.0017334899841023857,0.0008481460006259649,0.010552901141846857,0.001059521786673514,0.0037221192204573293,LPA
kovasznay,LPA,LPA_P6_N30,2,10,2,1236,6.0,30.0,,,0.01,200,40000,200,5000,203,,0.0002837242791429162,15.75451111793518,289.05109095573425,5092,arm64,0.0027402619723392633,0.0028731601806758415,0.0011149647505737255,0.014459649703905886,0.0015385493813631409,0.005570698474258555,LPA
kovasznay,LPA,LPA_P6_N30,2,10,3,1237,6.0,30.0,,,0.01,200,40000,200,5000,203,,0.0006232877494767308,15.228214025497437,192.8750548362732,3511,arm64,0.0030854771069995014,0.003377617013921518,0.0015956580141471479,0.020172932095587737,0.0026002984259559194,0.009541474148022342,LPA
kovasznay,LPA,LPA_P6_N30,2,10,4,1238,6.0,30.0,,,0.01,200,40000,200,5000,203,,0.0012694831239059567,16.377540826797485,318.039666891098,5763,arm64,0.004069976363507972,0.004389110739515602,0.002991223217003366,0.03785364826012226,0.003556825523433089,0.013501467920576373,LPA
