benchmark,key,key_id,nh,nn,trial,seed,lpa_order,lpa_panels,ff_sigma,ff_features,lr,adam_steps,lbfgs_maxiter,N_b,N_r,n_params,lpa_ref_params,l1_absolute,l2_relative,l1_absolute_c0,l2_relative_c0,l2_relative_sum,final_loss,time_adam,time_lbfgs,lbfgs_steps,machine,rms_r,mean_abs_r,max_abs_r,rms_r_x,mean_abs_r_x,max_abs_r_x,rms_r_y,mean_abs_r_y,max_abs_r_y,rms_r_xx,mean_abs_r_xx,max_abs_r_xx,rms_r_yy,mean_abs_r_yy,max_abs_r_yy,domain,model
helmholtz2d,FF,FF_s1,2,10,5,1239,,,1.0,3.0,0.01,200,40000,200,10000,191,181.0,0.40213151704058603,1.0570785544645978,0.40213151704058603,1.0570785544645958,1.0570785544645958,2564.757568359375,3.7406210899353027,234.9245901107788,16124,arm64,50.74425605627772,41.55698299407959,159.9120635986328,1602.5451046694443,1286.2493896484375,7155.3046875,797.0659085044348,633.5531234741211,2978.733154296875,143757.45262072503,113788.109375,586746.3125,17688.524641699205,13804.929077148438,67316.234375,"[[0.0, 1.0], [0.0, 1.0]]",FF_s1
helmholtz2d,FF,FF_s1,2,10,6,1240,,,1.0,3.0,0.01,200,40000,200,10000,191,181.0,0.5979467790174158,1.4746229771468338,0.5979467790174158,1.4746229771468295,1.4746229771468295,4368.67578125,3.8255858421325684,71.42034196853638,4978,arm64,65.25014592296901,53.01099109649658,184.69393920898438,932.781747818052,753.0182876586914,3813.367431640625,1079.994328688813,863.517707824707,5577.01611328125,20911.671669189913,16108.706909179688,134354.78125,66812.40172303343,49228.36181640625,444401.78125,"[[0.0, 1.0], [0.0, 1.0]]",FF_s1
helmholtz2d,FF,FF_s1,2,10,7,1241,,,1.0,3.0,0.01,200,40000,200,10000,191,181.0,0.3392556547442594,0.8011914266423322,0.3392556547442594,0.8011914266423311,0.8011914266423311,2616.09521484375,3.7198240756988525,109.83260774612427,7461,arm64,51.75467797112191,44.266297817230225,127.01737976074219,871.5907959730873,706.4850234985352,8684.2734375,765.9042755951947,637.2444839477539,5331.619140625,38742.67621112408,24129.70703125,472313.40625,23141.00196620708,14833.28173828125,363189.0,"[[0.0, 1.0], [0.0, 1.0]]",FF_s1
helmholtz2d,FF,FF_s1,2,10,8,1242,,,1.0,3.0,0.01,200,40000,200,10000,191,181.0,0.4031071264155364,0.9842282608453788,0.4031071264155364,0.9842282608453753,0.9842282608453753,5131.63037109375,3.889578104019165,148.7608242034912,10133,arm64,73.01447894590625,59.90048360824585,176.958251953125,1163.5361108491647,946.5690841674805,5689.49365234375,1420.7961016627262,1101.760025024414,6521.82958984375,67609.64925215926,39402.1484375,826281.3125,149462.95583856222,95359.7490234375,1116220.375,"[[0.0, 1.0], [0.0, 1.0]]",FF_s1
helmholtz2d,FF,FF_s1,2,10,9,1243,,,1.0,3.0,0.01,200,40000,200,10000,191,181.0,0.3705135534591889,0.9312238835593792,0.3705135534591889,0.9312238835593774,0.9312238835593774,3256.860107421875,3.8405518531799316,144.96259999275208,9108,arm64,56.6677575099892,48.11697006225586,148.24017333984375,754.7532295392979,628.5815887451172,2154.49365234375,1100.5626614941104,869.2720184326172,5295.845703125,15763.799478552117,12792.856323242188,61673.9765625,83042.9039954649,65235.17822265625,291711.46875,"[[0.0, 1.0], [0.0, 1.0]]",FF_s1
helmholtz2d,FF,FF_s5,2,10,0,1234,,,5.0,3.0,0.01,200,40000,200,10000,191,181.0,0.3973545694581435,1.0000497264190704,0.3973545694581435,1.0000497264190675,1.0000497264190675,6048.9931640625,3.9686899185180664,114.09385299682617,7306,arm64,80.02138271671224,64.9264931678772,206.73135375976562,3963.1421561685115,2951.388458251953,20580.625,8111.129576082483,6163.6064453125,44774.51171875,1880818.4717085273,1281356.453125,11301592.0,6771979.646910938,4973222.75,31182420.0,,FF_s5
helmholtz2d,FF,FF_s5,2,10,1,1235,,,5.0,3.0,0.01,200,40000,200,10000,191,181.0,0.3975807933222863,1.000196802782094,0.3975807933222863,1.0001968027820922,1.0001968027820922,6142.9912109375,4.08349609375,67.0493381023407,4332,arm64,79.83887162506295,64.98994159698486,206.93458557128906,5120.156784708844,3241.626739501953,34493.609375,5056.100275904346,3310.2456970214844,34045.01953125,3501535.5834147967,1573538.109375,37108780.0,3141418.0683353813,1494038.109375,38227912.0,,FF_s5
helmholtz2d,FF,FF_s5,2,10,2,1236,,,5.0,3.0,0.01,200,40000,200,10000,191,181.0,0.39744160894258745,1.0000006206736898,0.39744160894258745,1.0000006206736904,1.0000006206736904,5999.216796875,4.229032039642334,51.79574704170227,3246,arm64,79.94516362489803,64.9385118484497,202.59619140625,3331.103833566285,2501.3824462890625,17931.470703125,3923.145835933199,2914.9877014160156,25708.982421875,1321128.0389243127,883062.0,8449854.0,2126307.5519406875,1473597.484375,15141748.0,,FF_s5
helmholtz2d,FF,FF_s5,2,10,3,1237,,,5.0,3.0,0.01,200,40000,200,10000,191,181.0,0.3972967103628084,0.9984068593596533,0.3972967103628084,0.9984068593596506,0.9984068593596506,6057.85888671875,4.170701026916504,77.77928304672241,4958,arm64,79.63700950997222,64.98821926116943,200.44326782226562,3770.776511542417,2815.8096618652344,19988.123046875,4074.508283216516,2989.8209533691406,19858.015625,1413082.4110942716,975986.984375,10293062.0,1681247.1543042087,1097843.875,12248164.0,,FF_s5
helmholtz2d,FF,FF_s5,2,10,4,1238,,,5.0,3.0,0.01,200,40000,200,10000,191,181.0,0.39721342426892275,0.9999625440869413,0.39721342426892275,0.9999625440869385,0.9999625440869385,6168.8525390625,4.216784954071045,48.1329870223999,3110,arm64,80.04570952145386,64.95582962036133,207.43453979492188,3424.684876014142,2486.1287231445312,16697.10546875,5302.268641817387,3831.8827209472656,30939.44921875,1255548.202665274,813320.625,11343794.0,2850339.2244994277,1823442.828125,31221942.0,,FF_s5
helmholtz2d,FF,FF_s5,2,10,5,1239,,,5.0,3.0,0.01,200,40000,200,10000,191,181.0,0.39738117002033796,1.0000650767746235,0.39738117002033796,1.0000650767746182,1.0000650767746182,6057.63671875,3.862339735031128,50.82828903198242,3464,arm64,80.0367278667562,65.11769580841064,202.13525390625,3764.511887350072,2810.5948181152344,19515.29296875,3962.316651909587,3024.5526428222656,19400.56640625,1779348.6763779605,1120597.125,14490306.0,1763777.1878511186,1309745.328125,10398691.0,"[[0.0, 1.0], [0.0, 1.0]]",FF_s5
helmholtz2d,FF,FF_s5,2,10,6,1240,,,5.0,3.0,0.01,200,40000,200,10000,191,181.0,0.39735085329917386,0.9999972702753854,0.39735085329917386,0.9999972702753821,0.9999972702753821,5926.92724609375,3.731825828552246,56.92554187774658,3867,arm64,79.99528069881393,64.82581233978271,188.18980407714844,2147.6307876355286,1654.1998138427734,11550.9501953125,5047.529940475836,3562.213653564453,37355.234375,439583.2836858108,293079.4140625,3591544.25,3018286.835260029,1742618.90625,22598552.0,"[[0.0, 1.0], [0.0, 1.0]]",FF_s5
