benchmark,key,key_id,nh,nn,trial,seed,lpa_order,lpa_panels,ff_sigma,ff_features,lr,adam_steps,lbfgs_maxiter,N_0,N_b,N_r,n_params,lpa_ref_params,l1_absolute,l2_relative,final_loss,time_adam,time_lbfgs,lbfgs_steps,machine,L,domain,model
diffusion_reaction,LPA,LPA_P3_N30,3,10,3,1237,3.0,30.0,,,0.01,200,40000,200,200,10000,291,,0.0019469109340541997,0.0050372474770615724,0.0009764679707586765,7.877741813659668,122.44944310188293,3669,arm64,,,LPA
diffusion_reaction,LPA,LPA_P3_N30,3,10,4,1238,3.0,30.0,,,0.01,200,40000,200,200,10000,291,,0.0032322381276641584,0.007557867430266759,0.0013771308586001396,7.834090948104858,114.51089119911194,3395,arm64,,,LPA
diffusion_reaction,R,R,3,10,0,1234,,,,,0.01,200,40000,200,200,10000,261,,0.006587754113950793,0.019340641051622497,0.0040374877862632275,6.060343980789185,149.22882723808289,5698,arm64,,,R
diffusion_reaction,R,R,3,10,1,1235,,,,,0.01,200,40000,200,200,10000,261,,0.0026291021551397265,0.008743904540176097,0.0013752506347373128,5.488898992538452,149.05128383636475,5721,arm64,,,R
diffusion_reaction,R,R,3,10,2,1236,,,,,0.01,200,40000,200,200,10000,261,,0.15404840379140525,0.3337569722885334,0.17933005094528198,5.687663793563843,81.51403903961182,3161,arm64,,,R
diffusion_reaction,R,R,3,10,3,1237,,,,,0.01,200,40000,200,200,10000,261,,0.004099253506130482,0.011434043930966233,0.0031061721965670586,5.653211832046509,126.04606509208679,4826,arm64,,,R
diffusion_reaction,R,R,3,10,4,1238,,,,,0.01,200,40000,200,200,10000,261,,0.00502288921429602,0.012575217425928308,0.0017652824753895402,5.598142862319946,133.7105746269226,5146,arm64,,,R
diffusion_reaction,FF,FF_s10,4,10,0,1234,,,10.0,3.0,0.01,200,40000,200,200,10000,411,401.0,0.45437916682610957,1.0022404265175942,18.022979736328125,8.776247024536133,410.8779881000519,9881,arm64,3.141592653589793,"[[0.0, 1.0], [-3.141592653589793, 3.141592653589793]]",FF_s10
diffusion_reaction,FF,FF_s10,4,10,1,1235,,,10.0,3.0,0.01,200,40000,200,200,10000,411,401.0,0.4539052381957217,1.0013197456766882,17.428539276123047,8.716080904006958,377.38744497299194,9223,arm64,3.141592653589793,"[[0.0, 1.0], [-3.141592653589793, 3.141592653589793]]",FF_s10
diffusion_reaction,FF,FF_s10,4,10,2,1236,,,10.0,3.0,0.01,200,40000,200,200,10000,411,401.0,0.4533081527282438,1.0002667005564332,17.703853607177734,8.075999021530151,471.98730874061584,11557,arm64,3.141592653589793,"[[0.0, 1.0], [-3.141592653589793, 3.141592653589793]]",FF_s10
diffusion_reaction,FF,FF_s10,4,10,3,1237,,,10.0,3.0,0.01,200,40000,200,200,10000,411,401.0,0.45361176712095586,1.0000669128744433,17.2396240234375,8.549657106399536,525.504478931427,12744,arm64,3.141592653589793,"[[0.0, 1.0], [-3.141592653589793, 3.141592653589793]]",FF_s10
diffusion_reaction,FF,FF_s10,4,10,4,1238,,,10.0,3.0,0.01,200,40000,200,200,10000,411,401.0,0.4532707436879997,1.0002142993270637,17.664199829101562,8.369329929351807,465.91519570350647,11399,arm64,3.141592653589793,"[[0.0, 1.0], [-3.141592653589793, 3.141592653589793]]",FF_s10
diffusion_reaction,FF,FF_s1,4,10,0,1234,,,1.0,3.0,0.01,200,40000,200,200,10000,411,401.0,0.39815100738660875,0.814053079462231,6.385919094085693,8.547147035598755,375.1656770706177,9020,arm64,3.141592653589793,"[[0.0, 1.0], [-3.141592653589793, 3.141592653589793]]",FF_s1
diffusion_reaction,FF,FF_s1,4,10,1,1235,,,1.0,3.0,0.01,200,40000,200,200,10000,411,401.0,0.21133670401994745,0.5101305583758786,2.212501049041748,8.83541488647461,805.1891241073608,19679,arm64,3.141592653589793,"[[0.0, 1.0], [-3.141592653589793, 3.141592653589793]]",FF_s1
diffusion_reaction,FF,FF_s1,4,10,2,1236,,,1.0,3.0,0.01,200,40000,200,200,10000,411,401.0,0.4637662082166571,0.9855232539876121,10.79440689086914,8.694323062896729,846.9187252521515,20715,arm64,3.141592653589793,"[[0.0, 1.0], [-3.141592653589793, 3.141592653589793]]",FF_s1
diffusion_reaction,FF,FF_s1,4,10,3,1237,,,1.0,3.0,0.01,200,40000,200,200,10000,411,401.0,0.0023852202789440254,0.009298950003394132,0.0016104221576824784,8.42046308517456,584.2674131393433,14554,arm64,3.141592653589793,"[[0.0, 1.0], [-3.141592653589793, 3.141592653589793]]",FF_s1
diffusion_reaction,FF,FF_s1,4,10,4,1238,,,1.0,3.0,0.01,200,40000,200,200,10000,411,401.0,0.26748408458368117,0.5405212459550045,0.46857714653015137,8.559514284133911,586.3698770999908,14521,arm64,3.141592653589793,"[[0.0, 1.0], [-3.141592653589793, 3.141592653589793]]",FF_s1
diffusion_reaction,FF,FF_s5,4,10,0,1234,,,5.0,3.0,0.01,200,40000,200,200,10000,411,401.0,0.4545526271696436,1.0018268885329351,17.393390655517578,8.446815729141235,408.35861992836,9811,arm64,3.141592653589793,"[[0.0, 1.0], [-3.141592653589793, 3.141592653589793]]",FF_s5
diffusion_reaction,FF,FF_s5,4,10,1,1235,,,5.0,3.0,0.01,200,40000,200,200,10000,411,401.0,0.4536843783139002,1.000945199448247,17.140438079833984,8.392672061920166,259.25780391693115,6339,arm64,3.141592653589793,"[[0.0, 1.0], [-3.141592653589793, 3.141592653589793]]",FF_s5
diffusion_reaction,FF,FF_s5,4,10,2,1236,,,5.0,3.0,0.01,200,40000,200,200,10000,411,401.0,0.45332709243068203,1.0003036941419796,17.231977462768555,8.325276851654053,417.17461919784546,10404,arm64,3.141592653589793,"[[0.0, 1.0], [-3.141592653589793, 3.141592653589793]]",FF_s5
diffusion_reaction,FF,FF_s5,4,10,3,1237,,,5.0,3.0,0.01,200,40000,200,200,10000,411,401.0,0.4535749363787274,1.0003630372185064,16.801115036010742,8.755316019058228,466.5284380912781,11457,arm64,3.141592653589793,"[[0.0, 1.0], [-3.141592653589793, 3.141592653589793]]",FF_s5
diffusion_reaction,FF,FF_s5,4,10,4,1238,,,5.0,3.0,0.01,200,40000,200,200,10000,411,401.0,0.45342824984910557,1.0004708121234644,17.410179138183594,8.992100238800049,293.03034496307373,7259,arm64,3.141592653589793,"[[0.0, 1.0], [-3.141592653589793, 3.141592653589793]]",FF_s5
diffusion_reaction,LPA,LPA_P3_N30,4,10,0,1234,3.0,30.0,,,0.01,200,40000,200,200,10000,401,,0.0008623352448899033,0.0019348884744882337,0.00023880010121501982,9.042628049850464,225.9571018218994,5431,arm64,3.141592653589793,"[[0.0, 1.0], [-3.141592653589793, 3.141592653589793]]",LPA
diffusion_reaction,LPA,LPA_P3_N30,4,10,1,1235,3.0,30.0,,,0.01,200,40000,200,200,10000,401,,0.0011917415789228303,0.003212600140699958,0.00048187855281867087,9.639817237854004,175.93014192581177,4140,arm64,3.141592653589793,"[[0.0, 1.0], [-3.141592653589793, 3.141592653589793]]",LPA
diffusion_reaction,LPA,LPA_P3_N30,4,10,2,1236,3.0,30.0,,,0.01,200,40000,200,200,10000,401,,0.000983706201481248,0.002322981346199562,0.00017725475481711328,9.15009617805481,205.68427109718323,4992,arm64,3.141592653589793,"[[0.0, 1.0], [-3.141592653589793, 3.141592653589793]]",LPA
diffusion_reaction,LPA,LPA_P3_N30,4,10,3,1237,3.0,30.0,,,0.01,200,40000,200,200,10000,401,,0.001916234179200006,0.00433812802337789,0.0006747254519723356,8.703441858291626,113.14646816253662,2830,arm64,3.141592653589793,"[[0.0, 1.0], [-3.141592653589793, 3.141592653589793]]",LPA
diffusion_reaction,LPA,LPA_P3_N30,4,10,4,1238,3.0,30.0,,,0.01,200,40000,200,200,10000,401,,0.001242582977227095,0.0032212294873873166,0.0002657509467098862,9.393755912780762,204.43907403945923,4823,arm64,3.141592653589793,"[[0.0, 1.0], [-3.141592653589793, 3.141592653589793]]",LPA
diffusion_reaction,R,R,4,10,0,1234,,,,,0.01,200,40000,200,200,10000,371,,0.0021981838791389832,0.006206667290276185,0.0009189901174977422,7.713410139083862,296.51805305480957,8610,arm64,3.141592653589793,"[[0.0, 1.0], [-3.141592653589793, 3.141592653589793]]",R
diffusion_reaction,R,R,4,10,1,1235,,,,,0.01,200,40000,200,200,10000,371,,0.0011579598985915656,0.003116443507700558,0.0003299890668131411,7.773566007614136,214.37911176681519,6134,arm64,3.141592653589793,"[[0.0, 1.0], [-3.141592653589793, 3.141592653589793]]",R
diffusion_reaction,R,R,4,10,2,1236,,,,,0.01,200,40000,200,200,10000,371,,0.0006324404291246653,0.0016664064480094681,0.00020808869157917798,7.327779769897461,275.0538351535797,7997,arm64,3.141592653589793,"[[0.0, 1.0], [-3.141592653589793, 3.141592653589793]]",R
diffusion_reaction,R,R,4,10,3,1237,,,,,0.01,200,40000,200,200,10000,371,,0.0006513060458177253,0.0015723522363795073,0.00031232269247993827,7.126569986343384,214.39501118659973,6413,arm64,3.141592653589793,"[[0.0, 1.0], [-3.141592653589793, 3.141592653589793]]",R
diffusion_reaction,R,R,4,10,4,1238,,,,,0.01,200,40000,200,200,10000,371,,0.024069324165302518,0.06961414846319887,0.015276200138032436,7.132673025131226,170.57275104522705,4816,arm64,3.141592653589793,"[[0.0, 1.0], [-3.141592653589793, 3.141592653589793]]",R
